task,fold,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_classes,num_features,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features
multi,1,RF,FGSM-SNN,0.05,0.8642557651991615,0.8631251999873413,0.22929769392033544,0.17257901979697096,0.6349580712788261,0.640661938534279,0.23687943262411348,0.8873165618448637,6,263,,,,,,,
multi,1,RF,PGD-10-SNN,0.05,0.8642557651991615,0.8631251999873413,0.21986373165618447,0.15941656671362042,0.644392033542977,0.6364066193853428,0.2553191489361702,0.8873165618448637,6,263,10.0,10.0,0.03,,,,
multi,1,RF,PGD-20-SNN,0.05,0.8642557651991615,0.8631251999873413,0.21829140461215932,0.1582964630087868,0.6459643605870021,0.6382978723404256,0.2553191489361702,0.8873165618448637,6,263,20.0,19.0,0.015789473684210527,,,,
multi,1,RF,BBA,0.05,0.8642557651991615,0.8631251999873413,0.10089098532494759,0.07309860684970067,0.7633647798742139,0.8198581560283688,0.433096926713948,0.8873165618448637,6,263,,,,170.0,280.0,200.0,
multi,1,RF,DBA-style,0.05,0.8642557651991615,0.8631251999873413,0.79979035639413,0.797825656439766,0.06446540880503149,0.05768321513002364,0.03640661938534279,0.8873165618448637,6,263,,,,,,,175.0
multi,1,RF,FGSM-SNN,0.1,0.8642557651991615,0.8631251999873413,0.22379454926624737,0.16873947515890916,0.6404612159329142,0.6491725768321513,0.2685579196217494,0.8873165618448637,6,263,,,,,,,
multi,1,RF,PGD-10-SNN,0.1,0.8642557651991615,0.8631251999873413,0.23873165618448638,0.16832337470903921,0.625524109014675,0.607565011820331,0.22742316784869976,0.8873165618448637,6,263,10.0,10.0,0.03,,,,
multi,1,RF,PGD-20-SNN,0.1,0.8642557651991615,0.8631251999873413,0.23742138364779874,0.16900742051618486,0.6268343815513627,0.6099290780141844,0.23215130023640662,0.8873165618448637,6,263,20.0,19.0,0.015789473684210527,,,,
multi,1,RF,BBA,0.1,0.8642557651991615,0.8631251999873413,0.0859538784067086,0.0618546273567675,0.7783018867924529,0.8468085106382979,0.4401891252955083,0.8873165618448637,6,263,,,,170.0,280.0,200.0,
multi,1,RF,DBA-style,0.1,0.8642557651991615,0.8631251999873413,0.7976939203354297,0.7957221155089698,0.06656184486373173,0.0591016548463357,0.037825059101654845,0.8873165618448637,6,263,,,,,,,175.0
multi,1,RF,FGSM-SNN,0.2,0.8642557651991615,0.8631251999873413,0.22274633123689727,0.1626889285884619,0.6415094339622642,0.660047281323877,0.2425531914893617,0.8873165618448637,6,263,,,,,,,
multi,1,RF,PGD-10-SNN,0.2,0.8642557651991615,0.8631251999873413,0.24449685534591195,0.16573391286018285,0.6197589098532496,0.6009456264775414,0.21938534278959812,0.8873165618448637,6,263,10.0,10.0,0.03,,,,
multi,1,RF,PGD-20-SNN,0.2,0.8642557651991615,0.8631251999873413,0.24947589098532494,0.1686173072253909,0.6147798742138365,0.5900709219858156,0.2061465721040189,0.8873165618448637,6,263,20.0,19.0,0.015789473684210527,,,,
multi,1,RF,BBA,0.2,0.8642557651991615,0.8631251999873413,0.07127882599580712,0.05466329840227383,0.7929769392033543,0.8728132387706856,0.5418439716312057,0.8873165618448637,6,263,,,,170.0,280.0,200.0,
multi,1,RF,DBA-style,0.2,0.8642557651991615,0.8631251999873413,0.7945492662473794,0.7925740861168284,0.06970649895178205,0.061465721040189124,0.03877068557919622,0.8873165618448637,6,263,,,,,,,175.0
multi,1,RF,FGSM-SNN,0.3,0.8642557651991615,0.8631251999873413,0.2030922431865828,0.14908072658613952,0.6611635220125787,0.6931442080378251,0.2728132387706856,0.8873165618448637,6,263,,,,,,,
multi,1,RF,PGD-10-SNN,0.3,0.8642557651991615,0.8631251999873413,0.2358490566037736,0.16247807090504335,0.6284067085953879,0.6184397163120567,0.2264775413711584,0.8873165618448637,6,263,10.0,10.0,0.03,,,,
multi,1,RF,PGD-20-SNN,0.3,0.8642557651991615,0.8631251999873413,0.23846960167714884,0.16422539656999957,0.6257861635220127,0.6146572104018913,0.22316784869976358,0.8873165618448637,6,263,20.0,19.0,0.015789473684210527,,,,
multi,1,RF,BBA,0.3,0.8642557651991615,0.8631251999873413,0.06629979035639413,0.052300570155982995,0.7979559748427674,0.8817966903073287,0.5886524822695035,0.8873165618448637,6,263,,,,170.0,280.0,200.0,
multi,1,RF,DBA-style,0.3,0.8642557651991615,0.8631251999873413,0.7937631027253669,0.7917829596080475,0.0704926624737946,0.062411347517730496,0.03971631205673759,0.8873165618448637,6,263,,,,,,,175.0
