task,fold,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_classes,num_features,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features
multi,1,RF,FGSM-SNN,0.05,0.8404088050314465,0.8387882787978179,0.4129979035639413,0.3536596194272622,0.42741090146750527,0.4658595641646489,0.16077481840193705,0.8815513626834381,6,263,,,,,,,
multi,1,RF,PGD-10-SNN,0.05,0.8404088050314465,0.8387882787978179,0.39072327044025157,0.33448356023657205,0.449685534591195,0.4803874092009685,0.17869249394673123,0.8815513626834381,6,263,10.0,10.0,0.03,,,,
multi,1,RF,PGD-20-SNN,0.05,0.8404088050314465,0.8387882787978179,0.389937106918239,0.3323924759020681,0.45047169811320753,0.47796610169491527,0.1791767554479419,0.8815513626834381,6,263,20.0,19.0,0.015789473684210527,,,,
multi,1,RF,BBA,0.05,0.8404088050314465,0.8387882787978179,0.17295597484276728,0.12641941481647842,0.6674528301886793,0.6803874092009685,0.29152542372881357,0.8815513626834381,6,263,,,,170.0,280.0,200.0,
multi,1,RF,DBA-style,0.05,0.8404088050314465,0.8387882787978179,0.790356394129979,0.7882697940068244,0.0500524109014675,0.059564164648910414,0.0324455205811138,0.8815513626834381,6,263,,,,,,,175.0
multi,1,RF,FGSM-SNN,0.1,0.8404088050314465,0.8387882787978179,0.41457023060796644,0.3453421211792568,0.4258385744234801,0.45811138014527847,0.14188861985472154,0.8815513626834381,6,263,,,,,,,
multi,1,RF,PGD-10-SNN,0.1,0.8404088050314465,0.8387882787978179,0.3951781970649895,0.32664434724493374,0.445230607966457,0.4663438256658596,0.10266343825665859,0.8815513626834381,6,263,10.0,10.0,0.03,,,,
multi,1,RF,PGD-20-SNN,0.1,0.8404088050314465,0.8387882787978179,0.4001572327044025,0.3333646679123067,0.44025157232704404,0.46779661016949153,0.08716707021791767,0.8815513626834381,6,263,20.0,19.0,0.015789473684210527,,,,
multi,1,RF,BBA,0.1,0.8404088050314465,0.8387882787978179,0.14360587002096437,0.10275941556794474,0.6968029350104822,0.7346246973365618,0.2847457627118644,0.8815513626834381,6,263,,,,170.0,280.0,200.0,
multi,1,RF,DBA-style,0.1,0.8404088050314465,0.8387882787978179,0.784853249475891,0.7827432450951033,0.05555555555555558,0.06295399515738499,0.03631961259079903,0.8815513626834381,6,263,,,,,,,175.0
multi,1,RF,FGSM-SNN,0.2,0.8404088050314465,0.8387882787978179,0.40461215932914046,0.3325543493345679,0.4357966457023061,0.47263922518159807,0.15012106537530268,0.8815513626834381,6,263,,,,,,,
multi,1,RF,PGD-10-SNN,0.2,0.8404088050314465,0.8387882787978179,0.37631027253668764,0.297949983810782,0.4640985324947589,0.4774818401937046,0.11767554479418886,0.8815513626834381,6,263,10.0,10.0,0.03,,,,
multi,1,RF,PGD-20-SNN,0.2,0.8404088050314465,0.8387882787978179,0.3739517819706499,0.295060455930473,0.46645702306079667,0.475544794188862,0.10702179176755448,0.8815513626834381,6,263,20.0,19.0,0.015789473684210527,,,,
multi,1,RF,BBA,0.2,0.8404088050314465,0.8387882787978179,0.10927672955974843,0.07814106564999596,0.7311320754716981,0.7980629539951574,0.3273607748184019,0.8815513626834381,6,263,,,,170.0,280.0,200.0,
multi,1,RF,DBA-style,0.2,0.8404088050314465,0.8387882787978179,0.7817085953878407,0.7795962657356831,0.058700209643605894,0.0648910411622276,0.03777239709443099,0.8815513626834381,6,263,,,,,,,175.0
multi,1,RF,FGSM-SNN,0.3,0.8404088050314465,0.8387882787978179,0.3951781970649895,0.3199835427592663,0.445230607966457,0.48329297820823247,0.13220338983050847,0.8815513626834381,6,263,,,,,,,
multi,1,RF,PGD-10-SNN,0.3,0.8404088050314465,0.8387882787978179,0.3739517819706499,0.2887159733300781,0.46645702306079667,0.46150121065375305,0.11138014527845036,0.8815513626834381,6,263,10.0,10.0,0.03,,,,
multi,1,RF,PGD-20-SNN,0.3,0.8404088050314465,0.8387882787978179,0.3629454926624738,0.2784396224404845,0.47746331236897277,0.47360774818401935,0.10556900726392252,0.8815513626834381,6,263,20.0,19.0,0.015789473684210527,,,,
multi,1,RF,BBA,0.3,0.8404088050314465,0.8387882787978179,0.0870020964360587,0.06350174277820388,0.7534067085953878,0.8392251815980629,0.3811138014527845,0.8815513626834381,6,263,,,,170.0,280.0,200.0,
multi,1,RF,DBA-style,0.3,0.8404088050314465,0.8387882787978179,0.7793501048218029,0.7770964331195968,0.06105870020964366,0.06634382566585957,0.03728813559322034,0.8815513626834381,6,263,,,,,,,175.0
multi,1,DT,FGSM-SNN,0.05,0.7856394129979035,0.7853356149235259,0.49868972746331236,0.4850270324596861,0.28694968553459116,0.547373841400618,0.24356333676622038,0.8430293501048218,6,263,,,,,,,
multi,1,DT,PGD-10-SNN,0.05,0.7856394129979035,0.7853356149235259,0.4669811320754717,0.4336869577535504,0.3186582809224318,0.6266735324407827,0.29866117404737386,0.8430293501048218,6,263,10.0,3.0,0.1,,,,
multi,1,DT,PGD-20-SNN,0.05,0.7856394129979035,0.7853356149235259,0.46645702306079667,0.4359796976469055,0.31918238993710685,0.629763130792997,0.3038105046343975,0.8430293501048218,6,263,20.0,9.5,0.031578947368421054,,,,
multi,1,DT,BBA,0.05,0.7856394129979035,0.7853356149235259,0.006551362683438155,0.005876665682099588,0.7790880503144654,0.9974253347064882,0.698249227600412,0.8430293501048218,6,263,,,,80.0,160.0,115.0,
multi,1,DT,DBA-style,0.05,0.7856394129979035,0.7853356149235259,0.09145702306079664,0.07789587286592743,0.6941823899371069,0.986096807415036,0.650875386199794,0.8430293501048218,6,263,,,,,,,105.0
multi,1,DT,FGSM-SNN,0.1,0.7856394129979035,0.7853356149235259,0.4418238993710692,0.4298014247582155,0.3438155136268343,0.6138002059732235,0.4098867147270855,0.8430293501048218,6,263,,,,,,,
multi,1,DT,PGD-10-SNN,0.1,0.7856394129979035,0.7853356149235259,0.4533542976939203,0.4126855615226722,0.3322851153039832,0.6601441812564367,0.5051493305870237,0.8430293501048218,6,263,10.0,3.0,0.1,,,,
multi,1,DT,PGD-20-SNN,0.1,0.7856394129979035,0.7853356149235259,0.430293501048218,0.3846121300801966,0.3553459119496855,0.7064881565396498,0.5406797116374872,0.8430293501048218,6,263,20.0,9.5,0.031578947368421054,,,,
multi,1,DT,BBA,0.1,0.7856394129979035,0.7853356149235259,0.003930817610062893,0.0034293128379033443,0.7817085953878407,1.0,0.7425334706488157,0.8430293501048218,6,263,,,,80.0,160.0,115.0,
multi,1,DT,DBA-style,0.1,0.7856394129979035,0.7853356149235259,0.08280922431865828,0.07104797666961302,0.7028301886792452,0.9912461380020597,0.6374871266735325,0.8430293501048218,6,263,,,,,,,105.0
multi,1,DT,FGSM-SNN,0.2,0.7856394129979035,0.7853356149235259,0.3388364779874214,0.33841392846771357,0.4468029350104821,0.7914521112255407,0.4227600411946447,0.8430293501048218,6,263,,,,,,,
multi,1,DT,PGD-10-SNN,0.2,0.7856394129979035,0.7853356149235259,0.35665618448637315,0.3139948032945677,0.42898322851153037,0.833676622039135,0.5916580844490217,0.8430293501048218,6,263,10.0,3.0,0.1,,,,
multi,1,DT,PGD-20-SNN,0.2,0.7856394129979035,0.7853356149235259,0.3480083857442348,0.30670196701066477,0.4376310272536687,0.8362512873326468,0.583934088568486,0.8430293501048218,6,263,20.0,9.5,0.031578947368421054,,,,
multi,1,DT,BBA,0.2,0.7856394129979035,0.7853356149235259,0.002882599580712788,0.00247825303319199,0.7827568134171907,1.0,0.7677651905252317,0.8430293501048218,6,263,,,,80.0,160.0,115.0,
multi,1,DT,DBA-style,0.2,0.7856394129979035,0.7853356149235259,0.07180293501048218,0.06539059163725788,0.7138364779874213,0.9927909371781668,0.554582904222451,0.8430293501048218,6,263,,,,,,,105.0
multi,1,DT,FGSM-SNN,0.3,0.7856394129979035,0.7853356149235259,0.3238993710691824,0.3357166714022044,0.46174004192872115,0.8151390319258497,0.319773429454171,0.8430293501048218,6,263,,,,,,,
multi,1,DT,PGD-10-SNN,0.3,0.7856394129979035,0.7853356149235259,0.3503668763102725,0.32419317063401276,0.435272536687631,0.7976313079299691,0.4938208032955716,0.8430293501048218,6,263,10.0,3.0,0.1,,,,
multi,1,DT,PGD-20-SNN,0.3,0.7856394129979035,0.7853356149235259,0.36163522012578614,0.3347866709335326,0.4240041928721174,0.7966014418125643,0.4747682801235839,0.8430293501048218,6,263,20.0,9.5,0.031578947368421054,,,,
multi,1,DT,BBA,0.3,0.7856394129979035,0.7853356149235259,0.0,0.0,0.7856394129979035,1.0,0.7631307929969104,0.8430293501048218,6,263,,,,80.0,160.0,115.0,
multi,1,DT,DBA-style,0.3,0.7856394129979035,0.7853356149235259,0.0699685534591195,0.06445524965762076,0.7156708595387841,0.9933058702368692,0.537590113285273,0.8430293501048218,6,263,,,,,,,105.0
multi,1,XGBoost,FGSM-SNN,0.05,0.8443396226415094,0.8431341437072475,0.30660377358490565,0.22744009185521247,0.5377358490566038,0.5838178294573644,0.125484496124031,0.8752620545073375,6,263,,,,,,,
multi,1,XGBoost,PGD-10-SNN,0.05,0.8443396226415094,0.8431341437072475,0.36268343815513626,0.2988897750059731,0.48165618448637315,0.5697674418604651,0.1501937984496124,0.8752620545073375,6,263,10.0,8.0,0.0375,,,,
multi,1,XGBoost,PGD-20-SNN,0.05,0.8443396226415094,0.8431341437072475,0.36163522012578614,0.29818709264906096,0.4827044025157233,0.5678294573643411,0.14437984496124032,0.8752620545073375,6,263,20.0,15.5,0.01935483870967742,,,,
multi,1,XGBoost,BBA,0.05,0.8443396226415094,0.8431341437072475,0.003930817610062893,0.002830014121705008,0.8404088050314465,0.9927325581395349,0.33478682170542634,0.8752620545073375,6,263,,,,170.0,170.0,165.0,
multi,1,XGBoost,DBA-style,0.05,0.8443396226415094,0.8431341437072475,0.38784067085953877,0.3698967161350098,0.45649895178197064,0.499515503875969,0.24903100775193798,0.8752620545073375,6,263,,,,,,,160.0
multi,1,XGBoost,FGSM-SNN,0.1,0.8443396226415094,0.8431341437072475,0.29952830188679247,0.23466258987254907,0.5448113207547169,0.6036821705426356,0.14777131782945738,0.8752620545073375,6,263,,,,,,,
multi,1,XGBoost,PGD-10-SNN,0.1,0.8443396226415094,0.8431341437072475,0.3055555555555556,0.22405900104379803,0.5387840670859538,0.5697674418604651,0.15891472868217055,0.8752620545073375,6,263,10.0,8.0,0.0375,,,,
multi,1,XGBoost,PGD-20-SNN,0.1,0.8443396226415094,0.8431341437072475,0.30241090146750527,0.22120187601571584,0.5419287211740041,0.5721899224806202,0.16279069767441862,0.8752620545073375,6,263,20.0,15.5,0.01935483870967742,,,,
multi,1,XGBoost,BBA,0.1,0.8443396226415094,0.8431341437072475,0.0010482180293501049,0.000755929265536328,0.8432914046121593,0.998062015503876,0.3851744186046512,0.8752620545073375,6,263,,,,170.0,170.0,165.0,
multi,1,XGBoost,DBA-style,0.1,0.8443396226415094,0.8431341437072475,0.3757861635220126,0.3582223987308485,0.4685534591194968,0.5072674418604651,0.25726744186046513,0.8752620545073375,6,263,,,,,,,160.0
multi,1,XGBoost,FGSM-SNN,0.2,0.8443396226415094,0.8431341437072475,0.254979035639413,0.20676481765799323,0.5893605870020964,0.6782945736434108,0.2005813953488372,0.8752620545073375,6,263,,,,,,,
multi,1,XGBoost,PGD-10-SNN,0.2,0.8443396226415094,0.8431341437072475,0.2890461215932914,0.2192662343688886,0.5552935010482181,0.5959302325581395,0.18992248062015504,0.8752620545073375,6,263,10.0,8.0,0.0375,,,,
multi,1,XGBoost,PGD-20-SNN,0.2,0.8443396226415094,0.8431341437072475,0.28668763102725364,0.21708364724818913,0.5576519916142557,0.6022286821705426,0.18410852713178294,0.8752620545073375,6,263,20.0,15.5,0.01935483870967742,,,,
multi,1,XGBoost,BBA,0.2,0.8443396226415094,0.8431341437072475,0.0,0.0,0.8443396226415094,1.0,0.39147286821705424,0.8752620545073375,6,263,,,,170.0,170.0,165.0,
multi,1,XGBoost,DBA-style,0.2,0.8443396226415094,0.8431341437072475,0.37342767295597484,0.35601321340886155,0.47091194968553457,0.5111434108527132,0.2601744186046512,0.8752620545073375,6,263,,,,,,,160.0
multi,1,XGBoost,FGSM-SNN,0.3,0.8443396226415094,0.8431341437072475,0.21069182389937108,0.18109732189999017,0.6336477987421383,0.7640503875968992,0.28294573643410853,0.8752620545073375,6,263,,,,,,,
multi,1,XGBoost,PGD-10-SNN,0.3,0.8443396226415094,0.8431341437072475,0.28249475890985326,0.2258212060829374,0.5618448637316562,0.6191860465116279,0.22819767441860464,0.8752620545073375,6,263,10.0,8.0,0.0375,,,,
multi,1,XGBoost,PGD-20-SNN,0.3,0.8443396226415094,0.8431341437072475,0.2769916142557652,0.21924157201468064,0.5673480083857443,0.625484496124031,0.22771317829457363,0.8752620545073375,6,263,20.0,15.5,0.01935483870967742,,,,
multi,1,XGBoost,BBA,0.3,0.8443396226415094,0.8431341437072475,0.0,0.0,0.8443396226415094,1.0,0.3701550387596899,0.8752620545073375,6,263,,,,170.0,170.0,165.0,
multi,1,XGBoost,DBA-style,0.3,0.8443396226415094,0.8431341437072475,0.3729035639412998,0.35553944951204897,0.4714360587002096,0.5121124031007752,0.2606589147286822,0.8752620545073375,6,263,,,,,,,160.0
multi,1,LightGBM,FGSM-SNN,0.05,0.8453878406708596,0.8436608284920992,0.37657232704402516,0.29772837277083813,0.46881551362683443,0.5236943907156673,0.12137330754352031,0.894916142557652,6,263,,,,,,,
multi,1,LightGBM,PGD-10-SNN,0.05,0.8453878406708596,0.8436608284920992,0.37368972746331236,0.2999093749267123,0.47169811320754723,0.5256286266924565,0.12524177949709864,0.894916142557652,6,263,10.0,3.0,0.1,,,,
multi,1,LightGBM,PGD-20-SNN,0.05,0.8453878406708596,0.8436608284920992,0.36477987421383645,0.28534877888567817,0.48060796645702314,0.5207930367504836,0.12959381044487428,0.894916142557652,6,263,20.0,17.0,0.01764705882352941,,,,
