task,fold,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_classes,num_features,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features
multi,1,RF,FGSM-SNN,0.05,0.8825995807127882,0.8810876821039613,0.25131027253668764,0.17580242870144427,0.6312893081761006,0.6098120128381477,0.16597890875745072,0.8765723270440252,6,263,,,,,,,
multi,1,RF,PGD-10-SNN,0.05,0.8825995807127882,0.8810876821039613,0.2620545073375262,0.1867059732331542,0.620545073375262,0.5905547913801009,0.1572673085740486,0.8765723270440252,6,263,10.0,10.0,0.03,,,,
multi,1,RF,PGD-20-SNN,0.05,0.8825995807127882,0.8810876821039613,0.2612683438155136,0.18610887933868786,0.6213312368972745,0.5919303071985328,0.15405777166437415,0.8765723270440252,6,263,20.0,19.0,0.015789473684210527,,,,
multi,1,RF,BBA,0.05,0.8825995807127882,0.8810876821039613,0.12552410901467506,0.09305637900487367,0.7570754716981132,0.7803759743237048,0.3709307657038056,0.8765723270440252,6,263,,,,170.0,280.0,200.0,
multi,1,RF,DBA-style,0.05,0.8825995807127882,0.8810876821039613,0.8189203354297694,0.8167897570041681,0.06367924528301883,0.055479138010087116,0.03622191655204035,0.8765723270440252,6,263,,,,,,,175.0
multi,1,RF,FGSM-SNN,0.1,0.8825995807127882,0.8810876821039613,0.24030398322851154,0.16902772699670604,0.6422955974842767,0.6263182026593306,0.2026593305823017,0.8765723270440252,6,263,,,,,,,
multi,1,RF,PGD-10-SNN,0.1,0.8825995807127882,0.8810876821039613,0.26441299790356393,0.18135431894068893,0.6181865828092243,0.5804676753782668,0.17010545621274645,0.8765723270440252,6,263,10.0,10.0,0.03,,,,
multi,1,RF,PGD-20-SNN,0.1,0.8825995807127882,0.8810876821039613,0.2659853249475891,0.18194685027944021,0.6166142557651991,0.5745071068317286,0.1682714351215039,0.8765723270440252,6,263,20.0,19.0,0.015789473684210527,,,,
multi,1,RF,BBA,0.1,0.8825995807127882,0.8810876821039613,0.10377358490566038,0.07691712151510417,0.7788259958071279,0.8184319119669876,0.4695093993580926,0.8765723270440252,6,263,,,,170.0,280.0,200.0,
multi,1,RF,DBA-style,0.1,0.8825995807127882,0.8810876821039613,0.8165618448637316,0.8143998145535865,0.06603773584905659,0.055937643282897756,0.036680421824850984,0.8765723270440252,6,263,,,,,,,175.0
multi,1,RF,FGSM-SNN,0.2,0.8825995807127882,0.8810876821039613,0.215146750524109,0.15303475066740918,0.6674528301886792,0.6685006877579092,0.22879413113250802,0.8765723270440252,6,263,,,,,,,
multi,1,RF,PGD-10-SNN,0.2,0.8825995807127882,0.8810876821039613,0.2520964360587002,0.17089430753144869,0.6305031446540881,0.6020174232003668,0.1829436038514443,0.8765723270440252,6,263,10.0,10.0,0.03,,,,
multi,1,RF,PGD-20-SNN,0.2,0.8825995807127882,0.8810876821039613,0.25969601677148846,0.17599791423731245,0.6229035639412998,0.5910132966529115,0.1815680880330124,0.8765723270440252,6,263,20.0,19.0,0.015789473684210527,,,,
multi,1,RF,BBA,0.2,0.8825995807127882,0.8810876821039613,0.09617400419287211,0.07064443115525197,0.7864255765199161,0.8317285648784961,0.49977074736359467,0.8765723270440252,6,263,,,,170.0,280.0,200.0,
multi,1,RF,DBA-style,0.2,0.8825995807127882,0.8810876821039613,0.8136792452830188,0.8114602350542245,0.06892033542976939,0.05731315910132966,0.03759743237047226,0.8765723270440252,6,263,,,,,,,175.0
multi,1,RF,FGSM-SNN,0.3,0.8825995807127882,0.8810876821039613,0.1957547169811321,0.13979581834949445,0.6868448637316561,0.7001375515818432,0.25951398441082074,0.8765723270440252,6,263,,,,,,,
multi,1,RF,PGD-10-SNN,0.3,0.8825995807127882,0.8810876821039613,0.25707547169811323,0.1749952727475582,0.625524109014675,0.5965153599266392,0.20495185694635487,0.8765723270440252,6,263,10.0,10.0,0.03,,,,
multi,1,RF,PGD-20-SNN,0.3,0.8825995807127882,0.8810876821039613,0.25707547169811323,0.17560322308769938,0.625524109014675,0.5960568546538285,0.20311783585511234,0.8765723270440252,6,263,20.0,19.0,0.015789473684210527,,,,
multi,1,RF,BBA,0.3,0.8825995807127882,0.8810876821039613,0.08726415094339622,0.06451027815968055,0.795335429769392,0.8473177441540578,0.5190279688216415,0.8765723270440252,6,263,,,,170.0,280.0,200.0,
multi,1,RF,DBA-style,0.3,0.8825995807127882,0.8810876821039613,0.8115828092243187,0.8093927948355893,0.07101677148846952,0.06006419073819349,0.03897294818890417,0.8765723270440252,6,263,,,,,,,175.0
multi,1,DT,FGSM-SNN,0.05,0.8364779874213837,0.8347392867750592,0.09931865828092243,0.09833439144019375,0.7371593291404612,0.8896451142440447,0.5036460865337871,0.8490566037735849,6,263,,,,,,,
multi,1,DT,PGD-10-SNN,0.05,0.8364779874213837,0.8347392867750592,0.09879454926624738,0.09918763540811501,0.7376834381551363,0.8857559552746719,0.5367039377734565,0.8490566037735849,6,263,10.0,3.0,0.1,,,,
multi,1,DT,PGD-20-SNN,0.05,0.8364779874213837,0.8347392867750592,0.09329140461215933,0.0930595941249186,0.7431865828092243,0.8935342732134176,0.5303840544482256,0.8490566037735849,6,263,20.0,9.5,0.031578947368421054,,,,
multi,1,DT,BBA,0.05,0.8364779874213837,0.8347392867750592,0.0034067085953878406,0.0026245922472337567,0.8330712788259959,0.9936801166747691,0.5333009236752553,0.8490566037735849,6,263,,,,80.0,160.0,115.0,
multi,1,DT,DBA-style,0.05,0.8364779874213837,0.8347392867750592,0.06813417190775681,0.05926949861953352,0.7683438155136268,0.9188138065143413,0.4895478852698104,0.8490566037735849,6,263,,,,,,,105.0
multi,1,DT,FGSM-SNN,0.1,0.8364779874213837,0.8347392867750592,0.09879454926624738,0.09500071673782812,0.7376834381551363,0.8959649975692756,0.5007292173067575,0.8490566037735849,6,263,,,,,,,
multi,1,DT,PGD-10-SNN,0.1,0.8364779874213837,0.8347392867750592,0.08857442348008386,0.08859275878173942,0.7479035639412999,0.9017987360233349,0.5444822557122022,0.8490566037735849,6,263,10.0,3.0,0.1,,,,
multi,1,DT,PGD-20-SNN,0.1,0.8364779874213837,0.8347392867750592,0.08542976939203355,0.08605535473236739,0.7510482180293502,0.9037433155080213,0.5503159941662615,0.8490566037735849,6,263,20.0,9.5,0.031578947368421054,,,,
multi,1,DT,BBA,0.1,0.8364779874213837,0.8347392867750592,0.0031446540880503146,0.002404135780843653,0.8333333333333334,0.9941662615459407,0.5216334467671366,0.8490566037735849,6,263,,,,80.0,160.0,115.0,
multi,1,DT,DBA-style,0.1,0.8364779874213837,0.8347392867750592,0.056865828092243186,0.049180052665322806,0.7796121593291405,0.9295089936801166,0.49732620320855614,0.8490566037735849,6,263,,,,,,,105.0
multi,1,DT,FGSM-SNN,0.2,0.8364779874213837,0.8347392867750592,0.09538784067085954,0.09278900806128655,0.7410901467505242,0.9066601847350511,0.5109382596013612,0.8490566037735849,6,263,,,,,,,
multi,1,DT,PGD-10-SNN,0.2,0.8364779874213837,0.8347392867750592,0.09984276729559749,0.10125265875972997,0.7366352201257862,0.8847836655323287,0.5464268351968887,0.8490566037735849,6,263,10.0,3.0,0.1,,,,
multi,1,DT,PGD-20-SNN,0.2,0.8364779874213837,0.8347392867750592,0.0959119496855346,0.09691896187946406,0.7405660377358491,0.8920758385999028,0.5508021390374331,0.8490566037735849,6,263,20.0,9.5,0.031578947368421054,,,,
multi,1,DT,BBA,0.2,0.8364779874213837,0.8347392867750592,0.0034067085953878406,0.002607554469293614,0.8330712788259959,0.9936801166747691,0.5094798249878464,0.8490566037735849,6,263,,,,80.0,160.0,115.0,
multi,1,DT,DBA-style,0.2,0.8364779874213837,0.8347392867750592,0.02830188679245283,0.02642023123356519,0.8081761006289309,0.9756927564414195,0.4647544968400583,0.8490566037735849,6,263,,,,,,,105.0
multi,1,DT,FGSM-SNN,0.3,0.8364779874213837,0.8347392867750592,0.09538784067085954,0.09453630442760654,0.7410901467505242,0.9105493437044239,0.5026737967914439,0.8490566037735849,6,263,,,,,,,
multi,1,DT,PGD-10-SNN,0.3,0.8364779874213837,0.8347392867750592,0.12342767295597484,0.1260288359807377,0.7130503144654088,0.8361691784151677,0.5133689839572193,0.8490566037735849,6,263,10.0,3.0,0.1,,,,
