task,fold,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_classes,num_features,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features
multi,1,RF,FGSM-SNN,0.05,0.7570754716981132,0.7547557631891015,0.3218029350104822,0.3085643075525072,0.435272536687631,0.5858050847457628,0.3829449152542373,0.8425052410901468,6,263,,,,,,,
multi,1,RF,PGD-10-SNN,0.05,0.7570754716981132,0.7547557631891015,0.3778825995807128,0.35889351766326566,0.3791928721174004,0.5074152542372882,0.3294491525423729,0.8425052410901468,6,263,10.0,10.0,0.03,,,,
multi,1,RF,PGD-20-SNN,0.05,0.7570754716981132,0.7547557631891015,0.3810272536687631,0.360119117254546,0.37604821802935007,0.5058262711864406,0.326271186440678,0.8425052410901468,6,263,20.0,19.0,0.015789473684210527,,,,
multi,1,RF,BBA,0.05,0.7570754716981132,0.7547557631891015,0.22143605870020963,0.21639048192120391,0.5356394129979035,0.6514830508474576,0.40625,0.8425052410901468,6,263,,,,170.0,280.0,200.0,
multi,1,RF,DBA-style,0.05,0.7570754716981132,0.7547557631891015,0.6525157232704403,0.6490914431214031,0.1045597484276729,0.163135593220339,0.14247881355932204,0.8425052410901468,6,263,,,,,,,175.0
multi,1,RF,FGSM-SNN,0.1,0.7570754716981132,0.7547557631891015,0.269916142557652,0.24551838793021527,0.4871593291404612,0.6265889830508474,0.3474576271186441,0.8425052410901468,6,263,,,,,,,
multi,1,RF,PGD-10-SNN,0.1,0.7570754716981132,0.7547557631891015,0.3270440251572327,0.311461020084977,0.4300314465408805,0.4766949152542373,0.2738347457627119,0.8425052410901468,6,263,10.0,10.0,0.03,,,,
multi,1,RF,PGD-20-SNN,0.1,0.7570754716981132,0.7547557631891015,0.3220649895178197,0.30606349063700605,0.4350104821802935,0.4804025423728814,0.2738347457627119,0.8425052410901468,6,263,20.0,19.0,0.015789473684210527,,,,
multi,1,RF,BBA,0.1,0.7570754716981132,0.7547557631891015,0.15775681341719078,0.13864297320244026,0.5993186582809225,0.6975635593220338,0.3082627118644068,0.8425052410901468,6,263,,,,170.0,280.0,200.0,
multi,1,RF,DBA-style,0.1,0.7570754716981132,0.7547557631891015,0.6501572327044025,0.6466048021489894,0.10691823899371067,0.16684322033898305,0.1440677966101695,0.8425052410901468,6,263,,,,,,,175.0
multi,1,RF,FGSM-SNN,0.2,0.7570754716981132,0.7547557631891015,0.24475890985324947,0.1964053398667901,0.5123165618448637,0.614406779661017,0.23622881355932204,0.8425052410901468,6,263,,,,,,,
multi,1,RF,PGD-10-SNN,0.2,0.7570754716981132,0.7547557631891015,0.34853249475890985,0.3118772438880059,0.40854297693920333,0.4454449152542373,0.194385593220339,0.8425052410901468,6,263,10.0,10.0,0.03,,,,
multi,1,RF,PGD-20-SNN,0.2,0.7570754716981132,0.7547557631891015,0.35980083857442346,0.31907930561951847,0.3972746331236897,0.4279661016949153,0.1832627118644068,0.8425052410901468,6,263,20.0,19.0,0.015789473684210527,,,,
multi,1,RF,BBA,0.2,0.7570754716981132,0.7547557631891015,0.12054507337526206,0.09404326663785068,0.6365303983228511,0.7563559322033898,0.3289194915254237,0.8425052410901468,6,263,,,,170.0,280.0,200.0,
multi,1,RF,DBA-style,0.2,0.7570754716981132,0.7547557631891015,0.6496331236897275,0.6461312109107936,0.1074423480083857,0.16684322033898305,0.14353813559322035,0.8425052410901468,6,263,,,,,,,175.0
multi,1,RF,FGSM-SNN,0.3,0.7570754716981132,0.7547557631891015,0.2348008385744235,0.179842857764847,0.5222746331236897,0.6297669491525424,0.2341101694915254,0.8425052410901468,6,263,,,,,,,
multi,1,RF,PGD-10-SNN,0.3,0.7570754716981132,0.7547557631891015,0.3320230607966457,0.2833237524336228,0.4250524109014675,0.4846398305084746,0.18697033898305085,0.8425052410901468,6,263,10.0,10.0,0.03,,,,
multi,1,RF,PGD-20-SNN,0.3,0.7570754716981132,0.7547557631891015,0.34329140461215935,0.2939672600103271,0.41378406708595383,0.4708686440677966,0.1832627118644068,0.8425052410901468,6,263,20.0,19.0,0.015789473684210527,,,,
multi,1,RF,BBA,0.3,0.7570754716981132,0.7547557631891015,0.11582809224318659,0.08806726993110624,0.6412473794549266,0.7658898305084746,0.3347457627118644,0.8425052410901468,6,263,,,,170.0,280.0,200.0,
multi,1,RF,DBA-style,0.3,0.7570754716981132,0.7547557631891015,0.6488469601677149,0.645372599530014,0.10822851153039825,0.1694915254237288,0.14353813559322035,0.8425052410901468,6,263,,,,,,,175.0
multi,1,DT,FGSM-SNN,0.05,0.7382075471698113,0.7365212267520481,0.3671383647798742,0.3578877289835014,0.3710691823899371,0.4531590413943355,0.18627450980392157,0.835691823899371,6,263,,,,,,,
multi,1,DT,PGD-10-SNN,0.05,0.7382075471698113,0.7365212267520481,0.470125786163522,0.46461732782672843,0.2680817610062893,0.3720043572984749,0.11601307189542484,0.835691823899371,6,263,10.0,3.0,0.1,,,,
multi,1,DT,PGD-20-SNN,0.05,0.7382075471698113,0.7365212267520481,0.42557651991614254,0.4350162009174772,0.31263102725366876,0.43191721132897604,0.0855119825708061,0.835691823899371,6,263,20.0,9.5,0.031578947368421054,,,,
multi,1,DT,BBA,0.05,0.7382075471698113,0.7365212267520481,0.13233752620545072,0.13511761022649832,0.6058700209643606,0.7314814814814815,0.11328976034858387,0.835691823899371,6,263,,,,80.0,160.0,115.0,
multi,1,DT,DBA-style,0.05,0.7382075471698113,0.7365212267520481,0.24423480083857443,0.22766983573073904,0.4939727463312369,0.49836601307189543,0.20860566448801743,0.835691823899371,6,263,,,,,,,105.0
multi,1,DT,FGSM-SNN,0.1,0.7382075471698113,0.7365212267520481,0.34853249475890985,0.34431826917618386,0.38967505241090145,0.4923747276688453,0.2178649237472767,0.835691823899371,6,263,,,,,,,
multi,1,DT,PGD-10-SNN,0.1,0.7382075471698113,0.7365212267520481,0.4470649895178197,0.45494633353270464,0.2911425576519916,0.3997821350762527,0.12309368191721133,0.835691823899371,6,263,10.0,3.0,0.1,,,,
multi,1,DT,PGD-20-SNN,0.1,0.7382075471698113,0.7365212267520481,0.4368448637316562,0.4472102486866928,0.3013626834381551,0.4210239651416122,0.12908496732026145,0.835691823899371,6,263,20.0,9.5,0.031578947368421054,,,,
multi,1,DT,BBA,0.1,0.7382075471698113,0.7365212267520481,0.1281446540880503,0.13144255262929466,0.610062893081761,0.7391067538126361,0.10403050108932461,0.835691823899371,6,263,,,,80.0,160.0,115.0,
