task,model,defense,evaluation_mode,attack,epsilon,base_clean_acc,defended_clean_acc,clean_acc_drop,base_adv_acc,defended_adv_acc,robustness_improvement,base_asr,defended_asr,base_evasion_asr,defended_evasion_asr,base_snn_agreement,defended_snn_agreement,num_features
binary,DT,Mixed,transfer,BBA,0.05,0.8479428721174004,0.8104035639412999,0.0375393081761006,0.05588312368972746,0.7736504192872118,0.7177672955974843,0.8992358852171656,0.0996360951784676,0.8992358852171656,0.0996360951784676,0.8731656184486374,0.9198768343815513,716.0
binary,DT,Mixed,transfer,BBA,0.1,0.8479428721174004,0.8104035639412999,0.0375393081761006,0.010351153039832285,0.7334250524109015,0.7230738993710693,0.9813286972990866,0.09929973691353303,0.9813286972990866,0.09929973691353303,0.8731656184486374,0.9198768343815513,716.0
binary,DT,Mixed,transfer,BBA,0.2,0.8479428721174004,0.8104035639412999,0.0375393081761006,0.00504454926624738,0.7452175052410901,0.7401729559748428,0.990911258322015,0.06388371439195131,0.990911258322015,0.06388371439195131,0.8731656184486374,0.9198768343815513,716.0
binary,DT,Mixed,transfer,BBA,0.3,0.8479428721174004,0.8104035639412999,0.0375393081761006,0.002882599580712788,0.9341588050314465,0.9312762054507338,0.9948193475806737,0.00360035817273491,0.9948193475806737,0.00360035817273491,0.8731656184486374,0.9198768343815513,716.0
binary,DT,Mixed,transfer,DBA-style,0.05,0.8479428721174004,0.8104035639412999,0.0375393081761006,0.18075209643605872,0.8361504192872118,0.6553983228511531,0.731257182641242,0.007085350000563702,0.731257182641242,0.007085350000563702,0.8731656184486374,0.9198768343815513,716.0
binary,DT,Mixed,transfer,DBA-style,0.1,0.8479428721174004,0.8104035639412999,0.0375393081761006,0.15343291404612158,0.8364779874213837,0.683045073375262,0.774959391829999,0.006533118707982173,0.774959391829999,0.006533118707982173,0.8731656184486374,0.9198768343815513,716.0
binary,DT,Mixed,transfer,DBA-style,0.2,0.8479428721174004,0.8104035639412999,0.0375393081761006,0.11530398322851153,0.9058569182389937,0.7905529350104822,0.8017984140396954,0.001991215961854357,0.8017984140396954,0.001991215961854357,0.8731656184486374,0.9198768343815513,716.0
binary,DT,Mixed,transfer,DBA-style,0.3,0.8479428721174004,0.8104035639412999,0.0375393081761006,0.1104559748427673,0.9213836477987422,0.8109276729559748,0.8075981381431706,0.0017689945329259463,0.8075981381431706,0.0017689945329259463,0.8731656184486374,0.9198768343815513,716.0
binary,DT,Mixed,transfer,FGSM-SNN,0.05,0.8479428721174004,0.8104035639412999,0.0375393081761006,0.446082285115304,0.5446147798742138,0.09853249475890984,0.44399712185369744,0.23910258419473798,0.44399712185369744,0.23910258419473798,0.8731656184486374,0.9198768343815513,716.0
binary,DT,Mixed,transfer,FGSM-SNN,0.1,0.8479428721174004,0.8104035639412999,0.0375393081761006,0.35600104821802936,0.8090277777777778,0.45302672955974843,0.602930303243025,0.051841744143468704,0.602930303243025,0.051841744143468704,0.8731656184486374,0.9198768343815513,716.0
