task,fold,model,defense,evaluation_mode,attack,epsilon,base_clean_acc,base_clean_f1,defended_clean_acc,defended_clean_f1,clean_acc_drop,base_snn_agreement,defended_snn_agreement,train_epsilon,augmented_train_samples,num_classes,num_features,base_adv_acc,base_adv_f1,base_asr,base_evasion_asr,defended_adv_acc,defended_adv_f1,defended_asr,defended_evasion_asr,robustness_improvement,attack_reference_adv_acc,attack_reference_asr,attack_reference_evasion_asr,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features
binary,1,RF,PGD-20-SNN,transfer,FGSM-SNN,0.05,0.9129979035639413,0.9130281954545924,0.9158805031446541,0.9159315974461751,-0.002882599580712797,0.9321278825995807,0.9216457023060797,0.3,22896,2,716,0.5018343815513627,0.43852726613033205,0.1993097497842968,0.1993097497842968,1.0,1.0,0.0,0.0,0.49816561844863727,0.5018343815513627,0.1993097497842968,0.1993097497842968,,,,,,,
binary,1,RF,PGD-20-SNN,transfer,PGD-10-SNN,0.05,0.9129979035639413,0.9130281954545924,0.9158805031446541,0.9159315974461751,-0.002882599580712797,0.9321278825995807,0.9216457023060797,0.3,22896,2,716,0.5062893081761006,0.4431277031252752,0.19628990509059535,0.19628990509059535,1.0,1.0,0.0,0.0,0.4937106918238994,0.5062893081761006,0.19628990509059535,0.19628990509059535,10.0,10.0,0.005,,,,
binary,1,RF,PGD-20-SNN,transfer,PGD-20-SNN,0.05,0.9129979035639413,0.9130281954545924,0.9158805031446541,0.9159315974461751,-0.002882599580712797,0.9321278825995807,0.9216457023060797,0.3,22896,2,716,0.5180817610062893,0.4517955566228011,0.17644521138912855,0.17644521138912855,0.9997379454926625,0.9997379683741883,0.0004306632213608958,0.0004306632213608958,0.48165618448637315,0.5180817610062893,0.17644521138912855,0.17644521138912855,20.0,19.0,0.002631578947368421,,,,
binary,1,RF,PGD-20-SNN,transfer,BBA,0.05,0.9129979035639413,0.9130281954545924,0.9158805031446541,0.9159315974461751,-0.002882599580712797,0.9321278825995807,0.9216457023060797,0.3,22896,2,716,0.47379454926624737,0.4193940870693088,0.22088006902502158,0.22088006902502158,0.7290356394129979,0.7027506581153109,0.020241171403962102,0.020241171403962102,0.2552410901467505,0.47379454926624737,0.22088006902502158,0.22088006902502158,,,,170.0,280.0,200.0,
binary,1,RF,PGD-20-SNN,transfer,DBA-style,0.05,0.9129979035639413,0.9130281954545924,0.9158805031446541,0.9159315974461751,-0.002882599580712797,0.9321278825995807,0.9216457023060797,0.3,22896,2,716,0.8773584905660378,0.8769348914967441,0.020276100086281276,0.020276100086281276,0.9056603773584906,0.9055432479586147,0.004737295434969853,0.004737295434969853,0.028301886792452824,0.8773584905660378,0.020276100086281276,0.020276100086281276,,,,,,,175.0
binary,1,RF,PGD-20-SNN,transfer,FGSM-SNN,0.1,0.9129979035639413,0.9130281954545924,0.9158805031446541,0.9159315974461751,-0.002882599580712797,0.9321278825995807,0.9216457023060797,0.3,22896,2,716,0.4992138364779874,0.45566394708500985,0.2359792924935289,0.2359792924935289,1.0,1.0,0.0,0.0,0.5007861635220126,0.4992138364779874,0.2359792924935289,0.2359792924935289,,,,,,,
binary,1,RF,PGD-20-SNN,transfer,PGD-10-SNN,0.1,0.9129979035639413,0.9130281954545924,0.9158805031446541,0.9159315974461751,-0.002882599580712797,0.9321278825995807,0.9216457023060797,0.3,22896,2,716,0.46567085953878407,0.42135400711093357,0.271786022433132,0.271786022433132,0.999475890985325,0.9994759824162248,0.0008613264427217916,0.0008613264427217916,0.5338050314465409,0.46567085953878407,0.271786022433132,0.271786022433132,10.0,10.0,0.01,,,,
binary,1,RF,PGD-20-SNN,transfer,PGD-20-SNN,0.1,0.9129979035639413,0.9130281954545924,0.9158805031446541,0.9159315974461751,-0.002882599580712797,0.9321278825995807,0.9216457023060797,0.3,22896,2,716,0.4730083857442348,0.42789251744011425,0.26488352027610007,0.26488352027610007,1.0,1.0,0.0,0.0,0.5269916142557651,0.4730083857442348,0.26488352027610007,0.26488352027610007,20.0,19.0,0.005263157894736842,,,,
binary,1,RF,PGD-20-SNN,transfer,BBA,0.1,0.9129979035639413,0.9130281954545924,0.9158805031446541,0.9159315974461751,-0.002882599580712797,0.9321278825995807,0.9216457023060797,0.3,22896,2,716,0.3857442348008386,0.3626929529935267,0.36496980155306297,0.36496980155306297,0.6871069182389937,0.6470777481590121,0.031007751937984496,0.031007751937984496,0.30136268343815514,0.3857442348008386,0.36496980155306297,0.36496980155306297,,,,170.0,280.0,200.0,
binary,1,RF,PGD-20-SNN,transfer,DBA-style,0.1,0.9129979035639413,0.9130281954545924,0.9158805031446541,0.9159315974461751,-0.002882599580712797,0.9321278825995807,0.9216457023060797,0.3,22896,2,716,0.8739517819706499,0.8733597067312217,0.020276100086281276,0.020276100086281276,0.9012054507337526,0.9010201283893887,0.0068906115417743325,0.0068906115417743325,0.027253668763102645,0.8739517819706499,0.020276100086281276,0.020276100086281276,,,,,,,175.0
