task,fold,model,defense,evaluation_mode,attack,epsilon,base_clean_acc,base_clean_f1,defended_clean_acc,defended_clean_f1,clean_acc_drop,base_snn_agreement,defended_snn_agreement,train_epsilon,augmented_train_samples,num_classes,num_features,base_adv_acc,base_adv_f1,base_asr,base_evasion_asr,defended_adv_acc,defended_adv_f1,defended_asr,defended_evasion_asr,robustness_improvement,attack_reference_adv_acc,attack_reference_asr,attack_reference_evasion_asr,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features
binary,1,RF,PGD-20-SNN,transfer,FGSM-SNN,0.05,0.9208595387840671,0.9209279953600773,0.9182389937106918,0.9182246710393799,0.00262054507337528,0.9271488469601677,0.9232180293501048,0.3,22896,2,716,0.5531970649895178,0.48104944071941536,0.12875536480686695,0.12875536480686695,1.0,1.0,0.0,0.0,0.4468029350104822,0.5531970649895178,0.12875536480686695,0.12875536480686695,,,,,,,
binary,1,RF,PGD-20-SNN,transfer,PGD-10-SNN,0.05,0.9208595387840671,0.9209279953600773,0.9182389937106918,0.9182246710393799,0.00262054507337528,0.9271488469601677,0.9232180293501048,0.3,22896,2,716,0.55083857442348,0.4822618782175749,0.13433476394849786,0.13433476394849786,1.0,1.0,0.0,0.0,0.44916142557651995,0.55083857442348,0.13433476394849786,0.13433476394849786,10.0,10.0,0.005,,,,
binary,1,RF,PGD-20-SNN,transfer,PGD-20-SNN,0.05,0.9208595387840671,0.9209279953600773,0.9182389937106918,0.9182246710393799,0.00262054507337528,0.9271488469601677,0.9232180293501048,0.3,22896,2,716,0.5555555555555556,0.4830480134051135,0.1257510729613734,0.1257510729613734,1.0,1.0,0.0,0.0,0.4444444444444444,0.5555555555555556,0.1257510729613734,0.1257510729613734,20.0,19.0,0.002631578947368421,,,,
binary,1,RF,PGD-20-SNN,transfer,BBA,0.05,0.9208595387840671,0.9209279953600773,0.9182389937106918,0.9182246710393799,0.00262054507337528,0.9271488469601677,0.9232180293501048,0.3,22896,2,716,0.4772012578616352,0.42276031290305954,0.22145922746781116,0.22145922746781116,0.6954926624737946,0.6536994580973592,0.02059202059202059,0.02059202059202059,0.2182914046121594,0.4772012578616352,0.22145922746781116,0.22145922746781116,,,,170.0,280.0,200.0,
binary,1,RF,PGD-20-SNN,transfer,DBA-style,0.05,0.9208595387840671,0.9209279953600773,0.9182389937106918,0.9182246710393799,0.00262054507337528,0.9271488469601677,0.9232180293501048,0.3,22896,2,716,0.8831236897274634,0.8825633653041676,0.01759656652360515,0.01759656652360515,0.9074947589098532,0.9073043170745677,0.00429000429000429,0.00429000429000429,0.02437106918238985,0.8831236897274634,0.01759656652360515,0.01759656652360515,,,,,,,175.0
binary,1,RF,PGD-20-SNN,transfer,FGSM-SNN,0.1,0.9208595387840671,0.9209279953600773,0.9182389937106918,0.9182246710393799,0.00262054507337528,0.9271488469601677,0.9232180293501048,0.3,22896,2,716,0.4114255765199161,0.39579128257945706,0.3738197424892704,0.3738197424892704,1.0,1.0,0.0,0.0,0.5885744234800838,0.4114255765199161,0.3738197424892704,0.3738197424892704,,,,,,,
binary,1,RF,PGD-20-SNN,transfer,PGD-10-SNN,0.1,0.9208595387840671,0.9209279953600773,0.9182389937106918,0.9182246710393799,0.00262054507337528,0.9271488469601677,0.9232180293501048,0.3,22896,2,716,0.46252620545073375,0.4223344050989256,0.271244635193133,0.271244635193133,0.9997379454926625,0.9997379683741883,0.000429000429000429,0.000429000429000429,0.5372117400419287,0.46252620545073375,0.271244635193133,0.271244635193133,10.0,10.0,0.01,,,,
binary,1,RF,PGD-20-SNN,transfer,PGD-20-SNN,0.1,0.9208595387840671,0.9209279953600773,0.9182389937106918,0.9182246710393799,0.00262054507337528,0.9271488469601677,0.9232180293501048,0.3,22896,2,716,0.4620020964360587,0.4242046267718144,0.27811158798283264,0.27811158798283264,0.9997379454926625,0.9997379683741883,0.000429000429000429,0.000429000429000429,0.5377358490566038,0.4620020964360587,0.27811158798283264,0.27811158798283264,20.0,19.0,0.005263157894736842,,,,
binary,1,RF,PGD-20-SNN,transfer,BBA,0.1,0.9208595387840671,0.9209279953600773,0.9182389937106918,0.9182246710393799,0.00262054507337528,0.9271488469601677,0.9232180293501048,0.3,22896,2,716,0.44313417190775684,0.400320486483148,0.27467811158798283,0.27467811158798283,0.6708595387840671,0.6147021547239079,0.019305019305019305,0.019305019305019305,0.2277253668763103,0.44313417190775684,0.27467811158798283,0.27467811158798283,,,,170.0,280.0,200.0,
binary,1,RF,PGD-20-SNN,transfer,DBA-style,0.1,0.9208595387840671,0.9209279953600773,0.9182389937106918,0.9182246710393799,0.00262054507337528,0.9271488469601677,0.9232180293501048,0.3,22896,2,716,0.8805031446540881,0.8798836880682622,0.01888412017167382,0.01888412017167382,0.9072327044025157,0.907050214206342,0.004719004719004719,0.004719004719004719,0.02672955974842761,0.8805031446540881,0.01888412017167382,0.01888412017167382,,,,,,,175.0
