task,fold,model,defense,evaluation_mode,attack,epsilon,base_clean_acc,base_clean_f1,defended_clean_acc,defended_clean_f1,clean_acc_drop,base_snn_agreement,defended_snn_agreement,train_epsilon,augmented_train_samples,num_classes,num_features,base_adv_acc,base_adv_f1,base_asr,base_evasion_asr,defended_adv_acc,defended_adv_f1,defended_asr,defended_evasion_asr,robustness_improvement,attack_reference_adv_acc,attack_reference_asr,attack_reference_evasion_asr,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features
binary,1,RF,PGD-20-SNN,transfer,FGSM-SNN,0.05,0.9289832285115304,0.9289141645285979,0.9274109014675053,0.9272879575918734,0.0015723270440251014,0.9219077568134172,0.9129979035639413,0.3,22896,2,716,0.5089098532494759,0.46197792896720163,0.23514431239388794,0.23514431239388794,0.999475890985325,0.9994759824162248,0.00042426813746287653,0.00042426813746287653,0.49056603773584906,0.5089098532494759,0.23514431239388794,0.23514431239388794,,,,,,,
binary,1,RF,PGD-20-SNN,transfer,PGD-10-SNN,0.05,0.9289832285115304,0.9289141645285979,0.9274109014675053,0.9272879575918734,0.0015723270440251014,0.9219077568134172,0.9129979035639413,0.3,22896,2,716,0.5429769392033543,0.4837251634968122,0.1735993208828523,0.1735993208828523,0.999475890985325,0.9994759824162248,0.0008485362749257531,0.0008485362749257531,0.45649895178197064,0.5429769392033543,0.1735993208828523,0.1735993208828523,10.0,10.0,0.005,,,,
binary,1,RF,PGD-20-SNN,transfer,PGD-20-SNN,0.05,0.9289832285115304,0.9289141645285979,0.9274109014675053,0.9272879575918734,0.0015723270440251014,0.9219077568134172,0.9129979035639413,0.3,22896,2,716,0.5448113207547169,0.4854045951739652,0.1731748726655348,0.1731748726655348,0.9989517819706499,0.9989521469331878,0.0012728044123886295,0.0012728044123886295,0.454140461215933,0.5448113207547169,0.1731748726655348,0.1731748726655348,20.0,19.0,0.002631578947368421,,,,
binary,1,RF,PGD-20-SNN,transfer,BBA,0.05,0.9289832285115304,0.9289141645285979,0.9274109014675053,0.9272879575918734,0.0015723270440251014,0.9219077568134172,0.9129979035639413,0.3,22896,2,716,0.4588574423480084,0.41155261323010184,0.2597623089983022,0.2597623089983022,0.6931341719077568,0.6701870250467293,0.08655070004242682,0.08655070004242682,0.23427672955974843,0.4588574423480084,0.2597623089983022,0.2597623089983022,,,,170.0,280.0,200.0,
binary,1,RF,PGD-20-SNN,transfer,DBA-style,0.05,0.9289832285115304,0.9289141645285979,0.9274109014675053,0.9272879575918734,0.0015723270440251014,0.9219077568134172,0.9129979035639413,0.3,22896,2,716,0.8936058700209644,0.8930125506707083,0.01825127334465195,0.01825127334465195,0.9127358490566038,0.9124096515240755,0.007212558336868901,0.007212558336868901,0.0191299790356394,0.8936058700209644,0.01825127334465195,0.01825127334465195,,,,,,,175.0
binary,1,RF,PGD-20-SNN,transfer,FGSM-SNN,0.1,0.9289832285115304,0.9289141645285979,0.9274109014675053,0.9272879575918734,0.0015723270440251014,0.9219077568134172,0.9129979035639413,0.3,22896,2,716,0.5180817610062893,0.4700467330090231,0.2300509337860781,0.2300509337860781,0.9997379454926625,0.9997379683741883,0.0,0.0,0.48165618448637315,0.5180817610062893,0.2300509337860781,0.2300509337860781,,,,,,,
binary,1,RF,PGD-20-SNN,transfer,PGD-10-SNN,0.1,0.9289832285115304,0.9289141645285979,0.9274109014675053,0.9272879575918734,0.0015723270440251014,0.9219077568134172,0.9129979035639413,0.3,22896,2,716,0.4772012578616352,0.43875928956378735,0.2758913412563667,0.2758913412563667,0.9992138364779874,0.9992140419834107,0.0012728044123886295,0.0012728044123886295,0.5220125786163523,0.4772012578616352,0.2758913412563667,0.2758913412563667,10.0,10.0,0.01,,,,
binary,1,RF,PGD-20-SNN,transfer,PGD-20-SNN,0.1,0.9289832285115304,0.9289141645285979,0.9274109014675053,0.9272879575918734,0.0015723270440251014,0.9219077568134172,0.9129979035639413,0.3,22896,2,716,0.47038784067085954,0.433393524020205,0.28565365025466893,0.28565365025466893,0.9997379454926625,0.9997379683741883,0.00042426813746287653,0.00042426813746287653,0.529350104821803,0.47038784067085954,0.28565365025466893,0.28565365025466893,20.0,19.0,0.005263157894736842,,,,
binary,1,RF,PGD-20-SNN,transfer,BBA,0.1,0.9289832285115304,0.9289141645285979,0.9274109014675053,0.9272879575918734,0.0015723270440251014,0.9219077568134172,0.9129979035639413,0.3,22896,2,716,0.41771488469601675,0.3843245062749596,0.3242784380305603,0.3242784380305603,0.6986373165618449,0.6670279974437386,0.05515485787017395,0.05515485787017395,0.28092243186582816,0.41771488469601675,0.3242784380305603,0.3242784380305603,,,,170.0,280.0,200.0,
binary,1,RF,PGD-20-SNN,transfer,DBA-style,0.1,0.9289832285115304,0.9289141645285979,0.9274109014675053,0.9272879575918734,0.0015723270440251014,0.9219077568134172,0.9129979035639413,0.3,22896,2,716,0.8930817610062893,0.892464401106277,0.01825127334465195,0.01825127334465195,0.9129979035639413,0.9126809405885554,0.007212558336868901,0.007212558336868901,0.01991614255765195,0.8930817610062893,0.01825127334465195,0.01825127334465195,,,,,,,175.0
