task,fold,model,defense,evaluation_mode,attack,epsilon,base_clean_acc,base_clean_f1,defended_clean_acc,defended_clean_f1,clean_acc_drop,base_snn_agreement,defended_snn_agreement,train_epsilon,augmented_train_samples,num_classes,num_features,base_adv_acc,base_adv_f1,base_asr,base_evasion_asr,defended_adv_acc,defended_adv_f1,defended_asr,defended_evasion_asr,robustness_improvement,attack_reference_adv_acc,attack_reference_asr,attack_reference_evasion_asr,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features
binary,1,RF,PGD-20-SNN,transfer,FGSM-SNN,0.05,0.8907232704402516,0.890636500388939,0.8909853249475891,0.8908105849973476,-0.0002620545073375169,0.9122117400419287,0.9171907756813418,0.3,22896,2,716,0.6346960167714885,0.5192645443907175,0.036371603856266435,0.036371603856266435,1.0,1.0,0.0,0.0,0.36530398322851154,0.6346960167714885,0.036371603856266435,0.036371603856266435,,,,,,,
binary,1,RF,PGD-20-SNN,transfer,PGD-10-SNN,0.05,0.8907232704402516,0.890636500388939,0.8909853249475891,0.8908105849973476,-0.0002620545073375169,0.9122117400419287,0.9171907756813418,0.3,22896,2,716,0.6685010482180294,0.5997669275216909,0.04995617879053462,0.04995617879053462,1.0,1.0,0.0,0.0,0.33149895178197064,0.6685010482180294,0.04995617879053462,0.04995617879053462,10.0,10.0,0.005,,,,
binary,1,RF,PGD-20-SNN,transfer,PGD-20-SNN,0.05,0.8907232704402516,0.890636500388939,0.8909853249475891,0.8908105849973476,-0.0002620545073375169,0.9122117400419287,0.9171907756813418,0.3,22896,2,716,0.6734800838574424,0.6066837322178773,0.05346187554776512,0.05346187554776512,1.0,1.0,0.0,0.0,0.3265199161425576,0.6734800838574424,0.05346187554776512,0.05346187554776512,20.0,19.0,0.002631578947368421,,,,
binary,1,RF,PGD-20-SNN,transfer,BBA,0.05,0.8907232704402516,0.890636500388939,0.8909853249475891,0.8908105849973476,-0.0002620545073375169,0.9122117400419287,0.9171907756813418,0.3,22896,2,716,0.4944968553459119,0.4322430949427254,0.17484662576687116,0.17484662576687116,0.7274633123689728,0.705158952923323,0.020550940096195888,0.020550940096195888,0.23296645702306085,0.4944968553459119,0.17484662576687116,0.17484662576687116,,,,170.0,280.0,200.0,
binary,1,RF,PGD-20-SNN,transfer,DBA-style,0.05,0.8907232704402516,0.890636500388939,0.8909853249475891,0.8908105849973476,-0.0002620545073375169,0.9122117400419287,0.9171907756813418,0.3,22896,2,716,0.8535115303983228,0.8529080777899926,0.02322524101665206,0.02322524101665206,0.8794549266247379,0.8789467958193508,0.004372540445999125,0.004372540445999125,0.02594339622641506,0.8535115303983228,0.02322524101665206,0.02322524101665206,,,,,,,175.0
binary,1,RF,PGD-20-SNN,transfer,FGSM-SNN,0.1,0.8907232704402516,0.890636500388939,0.8909853249475891,0.8908105849973476,-0.0002620545073375169,0.9122117400419287,0.9171907756813418,0.3,22896,2,716,0.5458595387840671,0.4783924633295401,0.19894829097283084,0.19894829097283084,1.0,1.0,0.0,0.0,0.4541404612159329,0.5458595387840671,0.19894829097283084,0.19894829097283084,,,,,,,
binary,1,RF,PGD-20-SNN,transfer,PGD-10-SNN,0.1,0.8907232704402516,0.890636500388939,0.8909853249475891,0.8908105849973476,-0.0002620545073375169,0.9122117400419287,0.9171907756813418,0.3,22896,2,716,0.5946016771488469,0.5066026224806952,0.11437335670464505,0.11437335670464505,0.9997379454926625,0.9997379683741883,0.00043725404459991256,0.00043725404459991256,0.40513626834381555,0.5946016771488469,0.11437335670464505,0.11437335670464505,10.0,10.0,0.01,,,,
binary,1,RF,PGD-20-SNN,transfer,PGD-20-SNN,0.1,0.8907232704402516,0.890636500388939,0.8909853249475891,0.8908105849973476,-0.0002620545073375169,0.9122117400419287,0.9171907756813418,0.3,22896,2,716,0.5796645702306079,0.49301176168119587,0.13453111305872043,0.13453111305872043,0.999475890985325,0.9994759824162248,0.0008745080891998251,0.0008745080891998251,0.41981132075471705,0.5796645702306079,0.13453111305872043,0.13453111305872043,20.0,19.0,0.005263157894736842,,,,
binary,1,RF,PGD-20-SNN,transfer,BBA,0.1,0.8907232704402516,0.890636500388939,0.8909853249475891,0.8908105849973476,-0.0002620545073375169,0.9122117400419287,0.9171907756813418,0.3,22896,2,716,0.4798218029350105,0.42246750561233787,0.19763365468886943,0.19763365468886943,0.7104297693920335,0.681708399228805,0.018364669873196328,0.018364669873196328,0.23060796645702303,0.4798218029350105,0.19763365468886943,0.19763365468886943,,,,170.0,280.0,200.0,
binary,1,RF,PGD-20-SNN,transfer,DBA-style,0.1,0.8907232704402516,0.890636500388939,0.8909853249475891,0.8908105849973476,-0.0002620545073375169,0.9122117400419287,0.9171907756813418,0.3,22896,2,716,0.8524633123689728,0.8518272394456722,0.02366345311130587,0.02366345311130587,0.8786687631027253,0.878168944573822,0.005247048535198951,0.005247048535198951,0.026205450733752578,0.8524633123689728,0.02366345311130587,0.02366345311130587,,,,,,,175.0
