task,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_features
binary,DT,BBA,0.05,0.8666797693920335,0.8676203690363417,0.11877620545073375,0.13563064553771145,0.7479035639412998,0.7929022501393684,0.7929022501393684,0.9131944444444444,716.0
binary,DT,BBA,0.1,0.8666797693920335,0.8676203690363417,0.05339360587002096,0.06491615248080729,0.8132861635220126,0.9070893201878885,0.9070893201878885,0.9131944444444444,716.0
binary,DT,BBA,0.2,0.8666797693920335,0.8676203690363417,0.03498427672955975,0.04298892216748783,0.8316954926624738,0.9386900089866561,0.9386900089866561,0.9131944444444444,716.0
binary,DT,BBA,0.3,0.8666797693920335,0.8676203690363417,0.01650943396226415,0.02025810368925573,0.8501703354297694,0.9713957844268107,0.9713957844268107,0.9131944444444444,716.0
binary,DT,DBA-style,0.05,0.8666797693920335,0.8676203690363417,0.10947327044025157,0.12209329613765257,0.7572064989517819,0.8469876425009835,0.8469876425009835,0.9131944444444444,716.0
binary,DT,DBA-style,0.1,0.8666797693920335,0.8676203690363417,0.08431603773584906,0.09436910506798327,0.7823637316561844,0.8887526176728815,0.8887526176728815,0.9131944444444444,716.0
binary,DT,DBA-style,0.2,0.8666797693920335,0.8676203690363417,0.06983752620545074,0.07772739581384208,0.7968422431865828,0.9109166668888208,0.9109166668888208,0.9131944444444444,716.0
binary,DT,DBA-style,0.3,0.8666797693920335,0.8676203690363417,0.06236897274633124,0.06903743813253863,0.8043107966457023,0.921644869149594,0.921644869149594,0.9131944444444444,716.0
binary,DT,FGSM-SNN,0.05,0.8666797693920335,0.8676203690363417,0.5197196016771488,0.5197057926169865,0.3469601677148847,0.34582292758515704,0.34582292758515704,0.9131944444444444,716.0
binary,DT,FGSM-SNN,0.1,0.8666797693920335,0.8676203690363417,0.5179507337526206,0.5162916901727532,0.348729035639413,0.3512734892959924,0.3512734892959924,0.9131944444444444,716.0
binary,DT,FGSM-SNN,0.2,0.8666797693920335,0.8676203690363417,0.5128406708595388,0.5074846675914666,0.3538390985324948,0.37614198755394695,0.37614198755394695,0.9131944444444444,716.0
binary,DT,FGSM-SNN,0.3,0.8666797693920335,0.8676203690363417,0.49443134171907754,0.48806271281353586,0.37224842767295596,0.40639837015403824,0.40639837015403824,0.9131944444444444,716.0
binary,DT,PGD-10-SNN,0.05,0.8666797693920335,0.8676203690363417,0.5152646750524109,0.5125166159289816,0.3514150943396226,0.3392854403173008,0.3392854403173008,0.9131944444444444,716.0
binary,DT,PGD-10-SNN,0.1,0.8666797693920335,0.8676203690363417,0.49659329140461217,0.49419132344408695,0.3700864779874214,0.3745296352384286,0.3745296352384286,0.9131944444444444,716.0
binary,DT,PGD-10-SNN,0.2,0.8666797693920335,0.8676203690363417,0.48912473794549266,0.4776895630745337,0.37755503144654085,0.3697167544978477,0.3697167544978477,0.9131944444444444,716.0
binary,DT,PGD-10-SNN,0.3,0.8666797693920335,0.8676203690363417,0.49698637316561844,0.47884142355482595,0.3696933962264151,0.3488704623463805,0.3488704623463805,0.9131944444444444,716.0
binary,DT,PGD-20-SNN,0.05,0.8666797693920335,0.8676203690363417,0.521291928721174,0.5188741501221296,0.3453878406708595,0.3314474593290859,0.3314474593290859,0.9131944444444444,716.0
binary,DT,PGD-20-SNN,0.1,0.8666797693920335,0.8676203690363417,0.49403825995807127,0.49289215530183983,0.37264150943396224,0.377047843420123,0.377047843420123,0.9131944444444444,716.0
binary,DT,PGD-20-SNN,0.2,0.8666797693920335,0.8676203690363417,0.4861111111111111,0.47475427747024423,0.38056865828092246,0.3743915047029039,0.3743915047029039,0.9131944444444444,716.0
binary,DT,PGD-20-SNN,0.3,0.8666797693920335,0.8676203690363417,0.4948244234800839,0.47708845902039565,0.3718553459119497,0.34966070771171165,0.34966070771171165,0.9131944444444444,716.0
binary,LightGBM,BBA,0.05,0.8885613207547169,0.8892376155383712,0.32796121593291405,0.32150350672161343,0.560600104821803,0.4400158400436713,0.4400158400436713,0.9299659329140462,716.0
