task,fold,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_classes,num_features,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features
multi,1,RF,FGSM-SNN,0.05,0.910377358490566,0.9102418142439503,0.33831236897274636,0.2888752062224557,0.5720649895178196,0.5865384615384616,0.21153846153846154,0.8668763102725366,6,716,,,,,,,
multi,1,RF,PGD-10-SNN,0.05,0.910377358490566,0.9102418142439503,0.27541928721174,0.21857601768514892,0.634958071278826,0.6136363636363636,0.2906468531468531,0.8668763102725366,6,716,10.0,10.0,0.03,,,,
multi,1,RF,PGD-20-SNN,0.05,0.910377358490566,0.9102418142439503,0.27253668763102723,0.2155418920227579,0.6378406708595388,0.6162587412587412,0.2862762237762238,0.8668763102725366,6,716,20.0,19.0,0.015789473684210527,,,,
multi,1,RF,BBA,0.05,0.910377358490566,0.9102418142439503,0.29926624737945495,0.2752068388952138,0.611111111111111,0.5157342657342657,0.26486013986013984,0.8668763102725366,6,716,,,,170.0,280.0,200.0,
multi,1,RF,DBA-style,0.05,0.910377358490566,0.9102418142439503,0.8621593291404612,0.861971500880512,0.048218029350104774,0.042395104895104896,0.03365384615384615,0.8668763102725366,6,716,,,,,,,175.0
multi,1,RF,FGSM-SNN,0.1,0.910377358490566,0.9102418142439503,0.3338574423480084,0.2754036108430734,0.5765199161425576,0.6005244755244755,0.2784090909090909,0.8668763102725366,6,716,,,,,,,
multi,1,RF,PGD-10-SNN,0.1,0.910377358490566,0.9102418142439503,0.2631027253668763,0.20207322926035065,0.6472746331236897,0.638548951048951,0.3146853146853147,0.8668763102725366,6,716,10.0,10.0,0.03,,,,
multi,1,RF,PGD-20-SNN,0.1,0.910377358490566,0.9102418142439503,0.25943396226415094,0.2009478619525352,0.6509433962264151,0.6477272727272727,0.3129370629370629,0.8668763102725366,6,716,20.0,19.0,0.015789473684210527,,,,
multi,1,RF,BBA,0.1,0.910377358490566,0.9102418142439503,0.17662473794549266,0.16269156281073102,0.7337526205450733,0.715034965034965,0.3562062937062937,0.8668763102725366,6,716,,,,170.0,280.0,200.0,
multi,1,RF,DBA-style,0.1,0.910377358490566,0.9102418142439503,0.8579664570230608,0.8577547931351517,0.052410901467505155,0.04414335664335664,0.034527972027972025,0.8668763102725366,6,716,,,,,,,175.0
multi,1,RF,FGSM-SNN,0.2,0.910377358490566,0.9102418142439503,0.27908805031446543,0.18375018431926088,0.6312893081761006,0.5930944055944056,0.2980769230769231,0.8668763102725366,6,716,,,,,,,
multi,1,RF,PGD-10-SNN,0.2,0.910377358490566,0.9102418142439503,0.2971698113207547,0.21590186819595078,0.6132075471698113,0.6140734265734266,0.27972027972027974,0.8668763102725366,6,716,10.0,10.0,0.03,,,,
multi,1,RF,PGD-20-SNN,0.2,0.910377358490566,0.9102418142439503,0.2929769392033543,0.2120671715556583,0.6174004192872117,0.6149475524475524,0.28234265734265734,0.8668763102725366,6,716,20.0,19.0,0.015789473684210527,,,,
multi,1,RF,BBA,0.2,0.910377358490566,0.9102418142439503,0.08752620545073375,0.0722683977783051,0.8228511530398323,0.8601398601398601,0.4173951048951049,0.8668763102725366,6,716,,,,170.0,280.0,200.0,
