task,fold,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_classes,num_features,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features,time_window
binary,1,RF,FGSM-SNN,0.05,0.8542976939203354,0.8544734023671452,0.5416666666666666,0.49665216140621465,0.31263102725366876,0.19854611540208997,0.19854611540208997,0.8571802935010482,2,716,,,,,,,, (1hours)
binary,1,RF,PGD-10-SNN,0.05,0.8542976939203354,0.8544734023671452,0.4559748427672956,0.4239757080925757,0.3983228511530398,0.29850068150840525,0.29850068150840525,0.8571802935010482,2,716,10.0,10.0,0.03,,,,, (1hours)
binary,1,RF,PGD-20-SNN,0.05,0.8542976939203354,0.8544734023671452,0.4549266247379455,0.42326916401053144,0.3993710691823899,0.3003180372557928,0.3003180372557928,0.8571802935010482,2,716,20.0,19.0,0.015789473684210527,,,,, (1hours)
binary,1,RF,BBA,0.05,0.8542976939203354,0.8544734023671452,0.43841719077568136,0.4046521690968792,0.415880503144654,0.25533848250795094,0.25533848250795094,0.8571802935010482,2,716,,,,170.0,280.0,200.0,, (1hours)
binary,1,RF,DBA-style,0.05,0.8542976939203354,0.8544734023671452,0.7484276729559748,0.748250293641626,0.1058700209643606,0.08677873693775556,0.08677873693775556,0.8571802935010482,2,716,,,,,,,175.0, (1hours)
binary,1,RF,FGSM-SNN,0.1,0.8542976939203354,0.8544734023671452,0.3909853249475891,0.38011599071115687,0.4633123689727463,0.4420717855520218,0.4420717855520218,0.8571802935010482,2,716,,,,,,,, (1hours)
binary,1,RF,PGD-10-SNN,0.1,0.8542976939203354,0.8544734023671452,0.3611111111111111,0.35890441339543133,0.4931865828092243,0.4952294411631077,0.4952294411631077,0.8571802935010482,2,716,10.0,10.0,0.03,,,,, (1hours)
binary,1,RF,PGD-20-SNN,0.1,0.8542976939203354,0.8544734023671452,0.35744234800838576,0.3559423492419083,0.49685534591194963,0.5006815084052704,0.5006815084052704,0.8571802935010482,2,716,20.0,19.0,0.015789473684210527,,,,, (1hours)
binary,1,RF,BBA,0.1,0.8542976939203354,0.8544734023671452,0.4200733752620545,0.3856390303991157,0.4342243186582809,0.27214902317128575,0.27214902317128575,0.8571802935010482,2,716,,,,170.0,280.0,200.0,, (1hours)
binary,1,RF,DBA-style,0.1,0.8542976939203354,0.8544734023671452,0.7479035639412998,0.7476809175505615,0.10639412997903563,0.08677873693775556,0.08677873693775556,0.8571802935010482,2,716,,,,,,,175.0, (1hours)
