task,fold,model,attack,epsilon,target_label,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,targeted_evasion_asr,snn_agreement,num_classes,num_features,num_targetable,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features
multi_targeted_non_malicious,1,RF,FGSM-SNN-targeted-benign,0.05,3,0.935272536687631,0.9351454490814171,0.5579140461215933,0.4975907746122092,0.37735849056603765,0.35741769987174005,0.8655660377358491,6,716,2339,,,,,,,
multi_targeted_non_malicious,1,RF,PGD-10-SNN-targeted-benign,0.05,3,0.935272536687631,0.9351454490814171,0.5463836477987422,0.4804338020663125,0.38888888888888884,0.47028644719965795,0.8655660377358491,6,716,2339,10.0,10.0,0.03,,,,
multi_targeted_non_malicious,1,RF,PGD-20-SNN-targeted-benign,0.05,3,0.935272536687631,0.9351454490814171,0.5469077568134172,0.4786190484894375,0.3883647798742138,0.4719965797349295,0.8655660377358491,6,716,2339,20.0,19.0,0.015789473684210527,,,,
multi_targeted_non_malicious,1,RF,BBA-targeted-benign,0.05,3,0.935272536687631,0.9351454490814171,0.6834381551362684,0.6494054651728649,0.2518343815513626,0.4108593415989739,0.8655660377358491,6,716,2339,,,,170.0,280.0,200.0,
multi_targeted_non_malicious,1,RF,DBA-style-targeted-benign,0.05,3,0.935272536687631,0.9351454490814171,0.9219077568134172,0.9217423626788828,0.013364779874213806,0.021804189824711415,0.8655660377358491,6,716,2339,,,,,,,175.0
multi_targeted_non_malicious,1,RF,FGSM-SNN-targeted-benign,0.1,3,0.935272536687631,0.9351454490814171,0.5379979035639413,0.4511871846749418,0.3972746331236897,0.5109020949123557,0.8655660377358491,6,716,2339,,,,,,,
multi_targeted_non_malicious,1,RF,PGD-10-SNN-targeted-benign,0.1,3,0.935272536687631,0.9351454490814171,0.49659329140461217,0.4063773774118655,0.4386792452830188,0.6194955109020949,0.8655660377358491,6,716,2339,10.0,10.0,0.03,,,,
multi_targeted_non_malicious,1,RF,PGD-20-SNN-targeted-benign,0.1,3,0.935272536687631,0.9351454490814171,0.4971174004192872,0.4072391703832436,0.4381551362683438,0.6246259085079093,0.8655660377358491,6,716,2339,20.0,19.0,0.015789473684210527,,,,
multi_targeted_non_malicious,1,RF,BBA-targeted-benign,0.1,3,0.935272536687631,0.9351454490814171,0.5917190775681341,0.5634550933377583,0.34355345911949686,0.5604959384352287,0.8655660377358491,6,716,2339,,,,170.0,280.0,200.0,
multi_targeted_non_malicious,1,RF,DBA-style-targeted-benign,0.1,3,0.935272536687631,0.9351454490814171,0.9213836477987422,0.9212253020687761,0.01388888888888884,0.022659256092347157,0.8655660377358491,6,716,2339,,,,,,,175.0
multi_targeted_non_malicious,1,RF,FGSM-SNN-targeted-benign,0.2,3,0.935272536687631,0.9351454490814171,0.5227987421383647,0.430097853323793,0.41247379454926625,0.549807610089782,0.8655660377358491,6,716,2339,,,,,,,
multi_targeted_non_malicious,1,RF,PGD-10-SNN-targeted-benign,0.2,3,0.935272536687631,0.9351454490814171,0.4758909853249476,0.3869605413691111,0.4593815513626834,0.6810602821718683,0.8655660377358491,6,716,2339,10.0,10.0,0.03,,,,
multi_targeted_non_malicious,1,RF,PGD-20-SNN-targeted-benign,0.2,3,0.935272536687631,0.9351454490814171,0.47064989517819705,0.381409174528554,0.46462264150943394,0.6900384779820437,0.8655660377358491,6,716,2339,20.0,19.0,0.015789473684210527,,,,
multi_targeted_non_malicious,1,RF,BBA-targeted-benign,0.2,3,0.935272536687631,0.9351454490814171,0.47851153039832284,0.42558055740057266,0.45676100628930816,0.7451902522445489,0.8655660377358491,6,716,2339,,,,170.0,280.0,200.0,
multi_targeted_non_malicious,1,RF,DBA-style-targeted-benign,0.2,3,0.935272536687631,0.9351454490814171,0.9213836477987422,0.9212253020687761,0.01388888888888884,0.022659256092347157,0.8655660377358491,6,716,2339,,,,,,,175.0
multi_targeted_non_malicious,1,RF,FGSM-SNN-targeted-benign,0.3,3,0.935272536687631,0.9351454490814171,0.48846960167714887,0.3944631301118657,0.4468029350104821,0.5857203933304831,0.8655660377358491,6,716,2339,,,,,,,
multi_targeted_non_malicious,1,RF,PGD-10-SNN-targeted-benign,0.3,3,0.935272536687631,0.9351454490814171,0.4913522012578616,0.40301228048657606,0.4439203354297694,0.6434373663958957,0.8655660377358491,6,716,2339,10.0,10.0,0.03,,,,
multi_targeted_non_malicious,1,RF,PGD-20-SNN-targeted-benign,0.3,3,0.935272536687631,0.9351454490814171,0.49030398322851154,0.40242808235649685,0.44496855345911945,0.6541256947413424,0.8655660377358491,6,716,2339,20.0,19.0,0.015789473684210527,,,,
multi_targeted_non_malicious,1,RF,BBA-targeted-benign,0.3,3,0.935272536687631,0.9351454490814171,0.42033542976939203,0.33451275993944135,0.5149371069182389,0.8401026079521163,0.8655660377358491,6,716,2339,,,,170.0,280.0,200.0,
multi_targeted_non_malicious,1,RF,DBA-style-targeted-benign,0.3,3,0.935272536687631,0.9351454490814171,0.9211215932914046,0.920962138220014,0.014150943396226356,0.023086789226165028,0.8655660377358491,6,716,2339,,,,,,,175.0
multi_targeted_non_malicious,1,DT,FGSM-SNN-targeted-benign,0.05,3,0.8936058700209644,0.8935463608516441,0.5332809224318659,0.47792369788250477,0.3603249475890985,0.29834747655203214,0.8411949685534591,6,716,2239,,,,,,,
multi_targeted_non_malicious,1,DT,PGD-10-SNN-targeted-benign,0.05,3,0.8936058700209644,0.8935463608516441,0.5322327044025157,0.48440445498251133,0.3613731656184487,0.38990620812862886,0.8411949685534591,6,716,2239,10.0,3.0,0.1,,,,
multi_targeted_non_malicious,1,DT,PGD-20-SNN-targeted-benign,0.05,3,0.8936058700209644,0.8935463608516441,0.5183438155136268,0.45815196738782715,0.3752620545073375,0.3796337650736936,0.8411949685534591,6,716,2239,20.0,9.5,0.031578947368421054,,,,
multi_targeted_non_malicious,1,DT,BBA-targeted-benign,0.05,3,0.8936058700209644,0.8935463608516441,0.3356918238993711,0.2192575020901387,0.5579140461215932,0.950870924519875,0.8411949685534591,6,716,2239,,,,80.0,160.0,115.0,
multi_targeted_non_malicious,1,DT,DBA-style-targeted-benign,0.05,3,0.8936058700209644,0.8935463608516441,0.49344863731656186,0.4632101683974693,0.4001572327044025,0.6820008932559178,0.8411949685534591,6,716,2239,,,,,,,105.0
multi_targeted_non_malicious,1,DT,FGSM-SNN-targeted-benign,0.1,3,0.8936058700209644,0.8935463608516441,0.5319706498951782,0.47052879532856545,0.3616352201257862,0.28137561411344353,0.8411949685534591,6,716,2239,,,,,,,
multi_targeted_non_malicious,1,DT,PGD-10-SNN-targeted-benign,0.1,3,0.8936058700209644,0.8935463608516441,0.49344863731656186,0.4377901251118525,0.4001572327044025,0.5292541313086199,0.8411949685534591,6,716,2239,10.0,3.0,0.1,,,,
multi_targeted_non_malicious,1,DT,PGD-20-SNN-targeted-benign,0.1,3,0.8936058700209644,0.8935463608516441,0.4740566037735849,0.40637562459954285,0.4195492662473795,0.5614113443501563,0.8411949685534591,6,716,2239,20.0,9.5,0.031578947368421054,,,,
multi_targeted_non_malicious,1,DT,BBA-targeted-benign,0.1,3,0.8936058700209644,0.8935463608516441,0.30712788259958074,0.16694829328527241,0.5864779874213837,0.9995533720410897,0.8411949685534591,6,716,2239,,,,80.0,160.0,115.0,
multi_targeted_non_malicious,1,DT,DBA-style-targeted-benign,0.1,3,0.8936058700209644,0.8935463608516441,0.47641509433962265,0.4410134789052266,0.4171907756813417,0.7110317105850826,0.8411949685534591,6,716,2239,,,,,,,105.0
multi_targeted_non_malicious,1,DT,FGSM-SNN-targeted-benign,0.2,3,0.8936058700209644,0.8935463608516441,0.5408805031446541,0.47393296559066034,0.3527253668763103,0.31710585082626175,0.8411949685534591,6,716,2239,,,,,,,
multi_targeted_non_malicious,1,DT,PGD-10-SNN-targeted-benign,0.2,3,0.8936058700209644,0.8935463608516441,0.4143081761006289,0.3350556847591319,0.47929769392033544,0.7034390352836087,0.8411949685534591,6,716,2239,10.0,3.0,0.1,,,,
multi_targeted_non_malicious,1,DT,PGD-20-SNN-targeted-benign,0.2,3,0.8936058700209644,0.8935463608516441,0.4164046121593291,0.33676113815254777,0.47720125786163525,0.709691826708352,0.8411949685534591,6,716,2239,20.0,9.5,0.031578947368421054,,,,
multi_targeted_non_malicious,1,DT,BBA-targeted-benign,0.2,3,0.8936058700209644,0.8935463608516441,0.30686582809224316,0.16644843040892474,0.5867400419287212,1.0,0.8411949685534591,6,716,2239,,,,80.0,160.0,115.0,
multi_targeted_non_malicious,1,DT,DBA-style-targeted-benign,0.2,3,0.8936058700209644,0.8935463608516441,0.4730083857442348,0.4362852348874882,0.42059748427672955,0.7168378740509156,0.8411949685534591,6,716,2239,,,,,,,105.0
multi_targeted_non_malicious,1,DT,FGSM-SNN-targeted-benign,0.3,3,0.8936058700209644,0.8935463608516441,0.5469077568134172,0.48173802771305824,0.3466981132075472,0.32246538633318445,0.8411949685534591,6,716,2239,,,,,,,
multi_targeted_non_malicious,1,DT,PGD-10-SNN-targeted-benign,0.3,3,0.8936058700209644,0.8935463608516441,0.40932914046121593,0.32824700740855933,0.48427672955974843,0.5573916927199642,0.8411949685534591,6,716,2239,10.0,3.0,0.1,,,,
