task,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,targeted_evasion_asr,snn_agreement,num_features,num_targetable,target_label
multi_targeted_non_malicious,DT,BBA-targeted-benign,0.05,0.8292059748427674,0.8286747278831978,0.3637316561844864,0.28073682161662517,0.46547431865828093,0.8699564338906561,0.822982180293501,716.0,2042.0,3
multi_targeted_non_malicious,DT,BBA-targeted-benign,0.1,0.8292059748427674,0.8286747278831978,0.32095125786163525,0.2066606450439164,0.508254716981132,0.949743383492397,0.822982180293501,716.0,2042.0,3
multi_targeted_non_malicious,DT,BBA-targeted-benign,0.2,0.8292059748427674,0.8286747278831978,0.3149895178197065,0.19614354668166523,0.5142164570230608,0.9608404884595603,0.822982180293501,716.0,2042.0,3
multi_targeted_non_malicious,DT,BBA-targeted-benign,0.3,0.8292059748427674,0.8286747278831978,0.3124344863731656,0.19162151239703354,0.5167714884696017,0.9656140382363231,0.822982180293501,716.0,2042.0,3
multi_targeted_non_malicious,DT,DBA-style-targeted-benign,0.05,0.8292059748427674,0.8286747278831978,0.5088443396226415,0.4851138255628574,0.3203616352201258,0.5987284835675046,0.822982180293501,716.0,2042.0,3
multi_targeted_non_malicious,DT,DBA-style-targeted-benign,0.1,0.8292059748427674,0.8286747278831978,0.486438679245283,0.45821036748235716,0.3427672955974843,0.6405597781366061,0.822982180293501,716.0,2042.0,3
multi_targeted_non_malicious,DT,DBA-style-targeted-benign,0.2,0.8292059748427674,0.8286747278831978,0.4788390985324948,0.44822781798171885,0.3503668763102725,0.6547117799333068,0.822982180293501,716.0,2042.0,3
multi_targeted_non_malicious,DT,DBA-style-targeted-benign,0.3,0.8292059748427674,0.8286747278831978,0.47759433962264153,0.44658918133595443,0.35161163522012584,0.6570432531714279,0.822982180293501,716.0,2042.0,3
multi_targeted_non_malicious,DT,FGSM-SNN-targeted-benign,0.05,0.8292059748427674,0.8286747278831978,0.513233752620545,0.47218294454191434,0.3159722222222222,0.25896289259715677,0.822982180293501,716.0,2042.0,3
multi_targeted_non_malicious,DT,FGSM-SNN-targeted-benign,0.1,0.8292059748427674,0.8286747278831978,0.5070754716981132,0.456081195746353,0.3221305031446541,0.2680717149226972,0.822982180293501,716.0,2042.0,3
multi_targeted_non_malicious,DT,FGSM-SNN-targeted-benign,0.2,0.8292059748427674,0.8286747278831978,0.4867662473794549,0.4244498384883474,0.3424397274633124,0.2754053156198494,0.822982180293501,716.0,2042.0,3
multi_targeted_non_malicious,DT,FGSM-SNN-targeted-benign,0.3,0.8292059748427674,0.8286747278831978,0.4829009433962264,0.4212285935772312,0.3463050314465409,0.2783240390083341,0.822982180293501,716.0,2042.0,3
multi_targeted_non_malicious,DT,PGD-10-SNN-targeted-benign,0.05,0.8292059748427674,0.8286747278831978,0.5283018867924528,0.49700505537692635,0.3009040880503145,0.22769215130392184,0.822982180293501,716.0,2042.0,3
