task,fold,model,attack,epsilon,target_label,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,targeted_evasion_asr,snn_agreement,num_classes,num_features,num_targetable,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features
multi_targeted_non_malicious,1,RF,FGSM-SNN-targeted-benign,0.05,3,0.8802410901467506,0.8801026560032136,0.57520964360587,0.5282817223006732,0.30503144654088055,0.17583892617449665,0.8639937106918238,6,716,2235,,,,,,,
multi_targeted_non_malicious,1,RF,PGD-10-SNN-targeted-benign,0.05,3,0.8802410901467506,0.8801026560032136,0.589622641509434,0.5357619746017367,0.29061844863731656,0.254586129753915,0.8639937106918238,6,716,2235,10.0,10.0,0.03,,,,
multi_targeted_non_malicious,1,RF,PGD-20-SNN-targeted-benign,0.05,3,0.8802410901467506,0.8801026560032136,0.5830712788259959,0.5255071085435369,0.2971698113207547,0.268903803131991,0.8639937106918238,6,716,2235,20.0,19.0,0.015789473684210527,,,,
multi_targeted_non_malicious,1,RF,BBA-targeted-benign,0.05,3,0.8802410901467506,0.8801026560032136,0.7523584905660378,0.7468518008491289,0.1278825995807128,0.21834451901565996,0.8639937106918238,6,716,2235,,,,170.0,280.0,200.0,
multi_targeted_non_malicious,1,RF,DBA-style-targeted-benign,0.05,3,0.8802410901467506,0.8801026560032136,0.8618972746331237,0.8616740746337335,0.01834381551362685,0.03131991051454139,0.8639937106918238,6,716,2235,,,,,,,175.0
multi_targeted_non_malicious,1,RF,FGSM-SNN-targeted-benign,0.1,3,0.8802410901467506,0.8801026560032136,0.5662997903563941,0.492101463024448,0.31394129979035645,0.28993288590604027,0.8639937106918238,6,716,2235,,,,,,,
multi_targeted_non_malicious,1,RF,PGD-10-SNN-targeted-benign,0.1,3,0.8802410901467506,0.8801026560032136,0.5697064989517819,0.4817122223057383,0.3105345911949686,0.3982102908277405,0.8639937106918238,6,716,2235,10.0,10.0,0.03,,,,
multi_targeted_non_malicious,1,RF,PGD-20-SNN-targeted-benign,0.1,3,0.8802410901467506,0.8801026560032136,0.5665618448637316,0.4765515967719639,0.31367924528301894,0.41655480984340043,0.8639937106918238,6,716,2235,20.0,19.0,0.015789473684210527,,,,
multi_targeted_non_malicious,1,RF,BBA-targeted-benign,0.1,3,0.8802410901467506,0.8801026560032136,0.6962788259958071,0.6974093207081531,0.1839622641509434,0.31409395973154364,0.8639937106918238,6,716,2235,,,,170.0,280.0,200.0,
multi_targeted_non_malicious,1,RF,DBA-style-targeted-benign,0.1,3,0.8802410901467506,0.8801026560032136,0.8616352201257862,0.86140880047921,0.018605870020964366,0.031767337807606266,0.8639937106918238,6,716,2235,,,,,,,175.0
multi_targeted_non_malicious,1,RF,FGSM-SNN-targeted-benign,0.2,3,0.8802410901467506,0.8801026560032136,0.5681341719077568,0.47721270902064783,0.3121069182389937,0.28948545861297537,0.8639937106918238,6,716,2235,,,,,,,
