task,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,targeted_evasion_asr,snn_agreement,num_features,num_targetable,target_label
multi_targeted_non_malicious,DT,BBA-targeted-benign,0.05,0.8413915094339622,0.8412787845725066,0.35528039832285113,0.2701178073246498,0.48611111111111116,0.8831571964332194,0.8345125786163522,716.0,2100.5,3
multi_targeted_non_malicious,DT,BBA-targeted-benign,0.1,0.8413915094339622,0.8412787845725066,0.3151205450733753,0.20190161312633298,0.526270964360587,0.9556528968970942,0.8345125786163522,716.0,2100.5,3
multi_targeted_non_malicious,DT,BBA-targeted-benign,0.2,0.8413915094339622,0.8412787845725066,0.30856918238993714,0.1894338458131925,0.5328223270440252,0.9675241716293018,0.8345125786163522,716.0,2100.5,3
multi_targeted_non_malicious,DT,BBA-targeted-benign,0.3,0.8413915094339622,0.8412787845725066,0.2933045073375262,0.16442128692990712,0.5480870020964361,0.9957488958231737,0.8345125786163522,716.0,2100.5,3
multi_targeted_non_malicious,DT,DBA-style-targeted-benign,0.05,0.8413915094339622,0.8412787845725066,0.5265985324947589,0.5007005923278982,0.3147929769392034,0.5727504806586733,0.8345125786163522,716.0,2100.5,3
multi_targeted_non_malicious,DT,DBA-style-targeted-benign,0.1,0.8413915094339622,0.8412787845725066,0.5055686582809225,0.4760430563181482,0.33582285115303984,0.6110022802122573,0.8345125786163522,716.0,2100.5,3
multi_targeted_non_malicious,DT,DBA-style-targeted-benign,0.2,0.8413915094339622,0.8412787845725066,0.5003275681341719,0.4692056086242956,0.34106394129979034,0.6204722178768258,0.8345125786163522,716.0,2100.5,3
multi_targeted_non_malicious,DT,DBA-style-targeted-benign,0.3,0.8413915094339622,0.8412787845725066,0.4960036687631027,0.46383161500208087,0.34538784067085954,0.6282458840407494,0.8345125786163522,716.0,2100.5,3
multi_targeted_non_malicious,DT,FGSM-SNN-targeted-benign,0.05,0.8413915094339622,0.8412787845725066,0.4825733752620545,0.4518819739970867,0.3588181341719077,0.29991341549317474,0.8345125786163522,716.0,2100.5,3
multi_targeted_non_malicious,DT,FGSM-SNN-targeted-benign,0.1,0.8413915094339622,0.8412787845725066,0.4690775681341719,0.4171138585458247,0.37231394129979034,0.301235368480409,0.8345125786163522,716.0,2100.5,3
multi_targeted_non_malicious,DT,FGSM-SNN-targeted-benign,0.2,0.8413915094339622,0.8412787845725066,0.43907232704402516,0.3787886694639707,0.40231918238993714,0.3039013770399759,0.8345125786163522,716.0,2100.5,3
multi_targeted_non_malicious,DT,FGSM-SNN-targeted-benign,0.3,0.8413915094339622,0.8412787845725066,0.4464098532494759,0.38638029019720854,0.3949816561844864,0.2853208251681521,0.8345125786163522,716.0,2100.5,3
multi_targeted_non_malicious,DT,PGD-10-SNN-targeted-benign,0.05,0.8413915094339622,0.8412787845725066,0.48742138364779874,0.45892014980382145,0.3539701257861635,0.3238249404572538,0.8345125786163522,716.0,2100.5,3
multi_targeted_non_malicious,DT,PGD-10-SNN-targeted-benign,0.1,0.8413915094339622,0.8412787845725066,0.5097615303983228,0.46683386017042494,0.3316299790356394,0.2850485294489947,0.8345125786163522,716.0,2100.5,3
multi_targeted_non_malicious,DT,PGD-10-SNN-targeted-benign,0.2,0.8413915094339622,0.8412787845725066,0.5144785115303983,0.45957717649549756,0.326912997903564,0.27395957934579784,0.8345125786163522,716.0,2100.5,3
multi_targeted_non_malicious,DT,PGD-10-SNN-targeted-benign,0.3,0.8413915094339622,0.8412787845725066,0.5045204402515724,0.4553534409498194,0.3368710691823899,0.2655390593241924,0.8345125786163522,716.0,2100.5,3
multi_targeted_non_malicious,DT,PGD-20-SNN-targeted-benign,0.05,0.8413915094339622,0.8412787845725066,0.4789046121593291,0.44801565725985015,0.3624868972746331,0.3056400852665609,0.8345125786163522,716.0,2100.5,3
multi_targeted_non_malicious,DT,PGD-20-SNN-targeted-benign,0.1,0.8413915094339622,0.8412787845725066,0.48427672955974843,0.4320685048558556,0.3571147798742138,0.290141453045564,0.8345125786163522,716.0,2100.5,3
multi_targeted_non_malicious,DT,PGD-20-SNN-targeted-benign,0.2,0.8413915094339622,0.8412787845725066,0.5043238993710693,0.4518944554169244,0.3370676100628931,0.2640633774751412,0.8345125786163522,716.0,2100.5,3
multi_targeted_non_malicious,DT,PGD-20-SNN-targeted-benign,0.3,0.8413915094339622,0.8412787845725066,0.4844077568134172,0.43198094789340996,0.35698375262054505,0.3003553406930586,0.8345125786163522,716.0,2100.5,3
multi_targeted_non_malicious,LightGBM,BBA-targeted-benign,0.05,0.8778825995807128,0.877570654147483,0.3750655136268344,0.28437356292527755,0.5028170859538784,0.8784871299409185,0.8614386792452831,716.0,2184.25,3
multi_targeted_non_malicious,LightGBM,BBA-targeted-benign,0.1,0.8778825995807128,0.877570654147483,0.3472222222222222,0.23523635382355235,0.5306603773584906,0.9271760756850287,0.8614386792452831,716.0,2184.25,3
multi_targeted_non_malicious,LightGBM,BBA-targeted-benign,0.2,0.8778825995807128,0.877570654147483,0.32566823899371067,0.19990227024279578,0.5522143605870021,0.9647724664917022,0.8614386792452831,716.0,2184.25,3
multi_targeted_non_malicious,LightGBM,BBA-targeted-benign,0.3,0.8778825995807128,0.877570654147483,0.3283542976939203,0.20224080954661589,0.5495283018867925,0.9601152203874919,0.8614386792452831,716.0,2184.25,3
multi_targeted_non_malicious,LightGBM,DBA-style-targeted-benign,0.05,0.8778825995807128,0.877570654147483,0.6553983228511531,0.6448140880733294,0.22248427672955978,0.38870765140638086,0.8614386792452831,716.0,2184.25,3
multi_targeted_non_malicious,LightGBM,DBA-style-targeted-benign,0.1,0.8778825995807128,0.877570654147483,0.6521881551362684,0.640960295640753,0.22569444444444445,0.3943189367686923,0.8614386792452831,716.0,2184.25,3
multi_targeted_non_malicious,LightGBM,DBA-style-targeted-benign,0.2,0.8778825995807128,0.877570654147483,0.6537604821802935,0.6430523403599384,0.2241221174004193,0.3915874156558809,0.8614386792452831,716.0,2184.25,3
multi_targeted_non_malicious,LightGBM,DBA-style-targeted-benign,0.3,0.8778825995807128,0.877570654147483,0.6527777777777778,0.642022032199286,0.22510482180293503,0.39331435221716227,0.8614386792452831,716.0,2184.25,3
multi_targeted_non_malicious,LightGBM,FGSM-SNN-targeted-benign,0.05,0.8778825995807128,0.877570654147483,0.5604035639412998,0.4967810536323787,0.31747903563941304,0.12995104179430506,0.8614386792452831,716.0,2184.25,3
multi_targeted_non_malicious,LightGBM,FGSM-SNN-targeted-benign,0.1,0.8778825995807128,0.877570654147483,0.5518867924528301,0.4747336930143698,0.3259958071278826,0.14983919568510443,0.8614386792452831,716.0,2184.25,3
multi_targeted_non_malicious,LightGBM,FGSM-SNN-targeted-benign,0.2,0.8778825995807128,0.877570654147483,0.53708071278826,0.4672302120675502,0.3408018867924528,0.1026399997614108,0.8614386792452831,716.0,2184.25,3
multi_targeted_non_malicious,LightGBM,FGSM-SNN-targeted-benign,0.3,0.8778825995807128,0.877570654147483,0.5208988469601676,0.4610199477041013,0.3569837526205451,0.07097866010996624,0.8614386792452831,716.0,2184.25,3
multi_targeted_non_malicious,LightGBM,PGD-10-SNN-targeted-benign,0.05,0.8778825995807128,0.877570654147483,0.5823506289308176,0.5284820774675767,0.2955319706498952,0.15067091958053072,0.8614386792452831,716.0,2184.25,3
multi_targeted_non_malicious,LightGBM,PGD-10-SNN-targeted-benign,0.1,0.8778825995807128,0.877570654147483,0.5830057651991614,0.5160201835432628,0.2948768343815514,0.2393660901260183,0.8614386792452831,716.0,2184.25,3
multi_targeted_non_malicious,LightGBM,PGD-10-SNN-targeted-benign,0.2,0.8778825995807128,0.877570654147483,0.5659722222222222,0.4947305097006422,0.3119103773584906,0.11586561070797485,0.8614386792452831,716.0,2184.25,3
multi_targeted_non_malicious,LightGBM,PGD-10-SNN-targeted-benign,0.3,0.8778825995807128,0.877570654147483,0.5752751572327044,0.5107063988204441,0.3026074423480084,0.10244633068973286,0.8614386792452831,716.0,2184.25,3
multi_targeted_non_malicious,LightGBM,PGD-20-SNN-targeted-benign,0.05,0.8778825995807128,0.877570654147483,0.5622379454926625,0.49567990506757964,0.3156446540880503,0.15073798296326896,0.8614386792452831,716.0,2184.25,3
multi_targeted_non_malicious,LightGBM,PGD-20-SNN-targeted-benign,0.1,0.8778825995807128,0.877570654147483,0.5619103773584906,0.4784879292962137,0.3159722222222222,0.2181405603244987,0.8614386792452831,716.0,2184.25,3
multi_targeted_non_malicious,LightGBM,PGD-20-SNN-targeted-benign,0.2,0.8778825995807128,0.877570654147483,0.5589622641509434,0.48639874239792025,0.3189203354297694,0.15814778475370114,0.8614386792452831,716.0,2184.25,3
multi_targeted_non_malicious,LightGBM,PGD-20-SNN-targeted-benign,0.3,0.8778825995807128,0.877570654147483,0.5554900419287212,0.48514231109234957,0.3223925576519916,0.15337694894880538,0.8614386792452831,716.0,2184.25,3
multi_targeted_non_malicious,RF,BBA-targeted-benign,0.05,0.8666797693920336,0.8663163615837756,0.7310665618448637,0.7240116830452065,0.13561320754716985,0.23633316981667202,0.8451912997903565,716.0,2189.75,3
multi_targeted_non_malicious,RF,BBA-targeted-benign,0.1,0.8666797693920336,0.8663163615837756,0.6832416142557652,0.6814808952399746,0.18343815513626835,0.3197396623074551,0.8451912997903565,716.0,2189.75,3
multi_targeted_non_malicious,RF,BBA-targeted-benign,0.2,0.8666797693920336,0.8663163615837756,0.5661687631027253,0.552353383778124,0.3005110062893082,0.5236797739990569,0.8451912997903565,716.0,2189.75,3
multi_targeted_non_malicious,RF,BBA-targeted-benign,0.3,0.8666797693920336,0.8663163615837756,0.5148715932914046,0.48153203090389307,0.351808176100629,0.6130891598442704,0.8451912997903565,716.0,2189.75,3
multi_targeted_non_malicious,RF,DBA-style-targeted-benign,0.05,0.8666797693920336,0.8663163615837756,0.8407363731656184,0.8400563812816679,0.025943396226415116,0.0451926484655439,0.8451912997903565,716.0,2189.75,3
multi_targeted_non_malicious,RF,DBA-style-targeted-benign,0.1,0.8666797693920336,0.8663163615837756,0.8407363731656184,0.8400567658561988,0.025943396226415116,0.045193165937572985,0.8451912997903565,716.0,2189.75,3
multi_targeted_non_malicious,RF,DBA-style-targeted-benign,0.2,0.8666797693920336,0.8663163615837756,0.8406708595387841,0.8399888726568677,0.026008909853249496,0.04530711733001276,0.8451912997903565,716.0,2189.75,3
multi_targeted_non_malicious,RF,DBA-style-targeted-benign,0.3,0.8666797693920336,0.8663163615837756,0.8406053459119497,0.8399213464307271,0.026074423480083875,0.045421586194481625,0.8451912997903565,716.0,2189.75,3
multi_targeted_non_malicious,RF,FGSM-SNN-targeted-benign,0.05,0.8666797693920336,0.8663163615837756,0.5772405660377359,0.5407320223923954,0.28943920335429774,0.16593286070642332,0.8451912997903565,716.0,2189.75,3
multi_targeted_non_malicious,RF,FGSM-SNN-targeted-benign,0.1,0.8666797693920336,0.8663163615837756,0.561975890985325,0.49892014651918,0.3047038784067086,0.25782709129700687,0.8451912997903565,716.0,2189.75,3
multi_targeted_non_malicious,RF,FGSM-SNN-targeted-benign,0.2,0.8666797693920336,0.8663163615837756,0.5598794549266247,0.4799808349770416,0.30680031446540884,0.2221308771111818,0.8451912997903565,716.0,2189.75,3
