task,fold,model,attack,epsilon,target_label,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,targeted_evasion_asr,snn_agreement,num_classes,num_features,num_targetable,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features,time_window
multi_targeted_non_malicious,1,RF,FGSM-SNN-targeted-benign,0.05,3,0.8414570230607966,0.8414861850699382,0.5809748427672956,0.5596760509899144,0.260482180293501,0.12891172349369454,0.8105345911949685,6,716,2141,,,,,,,, (1hours)
multi_targeted_non_malicious,1,RF,PGD-10-SNN-targeted-benign,0.05,3,0.8414570230607966,0.8414861850699382,0.5678721174004193,0.5281293680376418,0.2735849056603773,0.32368052312003737,0.8105345911949685,6,716,2141,10.0,10.0,0.03,,,,, (1hours)
multi_targeted_non_malicious,1,RF,PGD-20-SNN-targeted-benign,0.05,3,0.8414570230607966,0.8414861850699382,0.5639412997903563,0.5235422770972125,0.2775157232704403,0.32788416627744044,0.8105345911949685,6,716,2141,20.0,19.0,0.015789473684210527,,,,, (1hours)
multi_targeted_non_malicious,1,RF,BBA-targeted-benign,0.05,3,0.8414570230607966,0.8414861850699382,0.6873689727463312,0.680319935088971,0.15408805031446537,0.2746380196170014,0.8105345911949685,6,716,2141,,,,170.0,280.0,200.0,, (1hours)
multi_targeted_non_malicious,1,RF,DBA-style-targeted-benign,0.05,3,0.8414570230607966,0.8414861850699382,0.7958595387840671,0.7949432771540523,0.045597484276729494,0.0812704343764596,0.8105345911949685,6,716,2141,,,,,,,175.0, (1hours)
multi_targeted_non_malicious,1,RF,FGSM-SNN-targeted-benign,0.1,3,0.8414570230607966,0.8414861850699382,0.5526729559748428,0.5024106153564659,0.28878406708595383,0.26763194768799625,0.8105345911949685,6,716,2141,,,,,,,, (1hours)
multi_targeted_non_malicious,1,RF,PGD-10-SNN-targeted-benign,0.1,3,0.8414570230607966,0.8414861850699382,0.5435010482180294,0.478342416745702,0.29795597484276726,0.4950957496496964,0.8105345911949685,6,716,2141,10.0,10.0,0.03,,,,, (1hours)
multi_targeted_non_malicious,1,RF,PGD-20-SNN-targeted-benign,0.1,3,0.8414570230607966,0.8414861850699382,0.5414046121593291,0.47583317167007305,0.3000524109014675,0.4950957496496964,0.8105345911949685,6,716,2141,20.0,19.0,0.015789473684210527,,,,, (1hours)
multi_targeted_non_malicious,1,RF,BBA-targeted-benign,0.1,3,0.8414570230607966,0.8414861850699382,0.6189727463312369,0.6190756242021794,0.22248427672955973,0.3965436711816908,0.8105345911949685,6,716,2141,,,,170.0,280.0,200.0,, (1hours)
multi_targeted_non_malicious,1,RF,DBA-style-targeted-benign,0.1,3,0.8414570230607966,0.8414861850699382,0.7958595387840671,0.7949432771540523,0.045597484276729494,0.0812704343764596,0.8105345911949685,6,716,2141,,,,,,,175.0, (1hours)
multi_targeted_non_malicious,1,RF,FGSM-SNN-targeted-benign,0.2,3,0.8414570230607966,0.8414861850699382,0.5414046121593291,0.4750221804323898,0.3000524109014675,0.2741709481550677,0.8105345911949685,6,716,2141,,,,,,,, (1hours)
multi_targeted_non_malicious,1,RF,PGD-10-SNN-targeted-benign,0.2,3,0.8414570230607966,0.8414861850699382,0.539308176100629,0.4660554568336934,0.30214884696016764,0.5063054647361046,0.8105345911949685,6,716,2141,10.0,10.0,0.03,,,,, (1hours)
