task,fold,model,attack,epsilon,target_label,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,targeted_evasion_asr,snn_agreement,num_classes,num_features,num_targetable,steps,alpha_factor,alpha,max_attempts,top_k,perturb_features,max_features
multi_targeted_non_malicious,1,RF,FGSM-SNN-targeted-benign,0.05,3,0.8844339622641509,0.8842848558645967,0.5762578616352201,0.5220875095300391,0.30817610062893086,0.18548387096774194,0.8632075471698113,6,716,2232,,,,,,,
multi_targeted_non_malicious,1,RF,PGD-10-SNN-targeted-benign,0.05,3,0.8844339622641509,0.8842848558645967,0.5809748427672956,0.5236325152882898,0.30345911949685533,0.253584229390681,0.8632075471698113,6,716,2232,10.0,10.0,0.03,,,,
multi_targeted_non_malicious,1,RF,PGD-20-SNN-targeted-benign,0.05,3,0.8844339622641509,0.8842848558645967,0.5767819706498952,0.5152141372957026,0.3076519916142557,0.27060931899641577,0.8632075471698113,6,716,2232,20.0,19.0,0.015789473684210527,,,,
multi_targeted_non_malicious,1,RF,BBA-targeted-benign,0.05,3,0.8844339622641509,0.8842848558645967,0.7767295597484277,0.7711847081871754,0.10770440251572322,0.18413978494623656,0.8632075471698113,6,716,2232,,,,170.0,280.0,200.0,
multi_targeted_non_malicious,1,RF,DBA-style-targeted-benign,0.05,3,0.8844339622641509,0.8842848558645967,0.8705450733752621,0.8703847834014361,0.01388888888888884,0.023745519713261647,0.8632075471698113,6,716,2232,,,,,,,175.0
multi_targeted_non_malicious,1,RF,FGSM-SNN-targeted-benign,0.1,3,0.8844339622641509,0.8842848558645967,0.5678721174004193,0.49311528274144534,0.3165618448637316,0.2656810035842294,0.8632075471698113,6,716,2232,,,,,,,
multi_targeted_non_malicious,1,RF,PGD-10-SNN-targeted-benign,0.1,3,0.8844339622641509,0.8842848558645967,0.5686582809224319,0.47718553038298916,0.31577568134171907,0.3216845878136201,0.8632075471698113,6,716,2232,10.0,10.0,0.03,,,,
multi_targeted_non_malicious,1,RF,PGD-20-SNN-targeted-benign,0.1,3,0.8844339622641509,0.8842848558645967,0.5689203354297694,0.47570151886795875,0.31551362683438156,0.3234767025089606,0.8632075471698113,6,716,2232,20.0,19.0,0.015789473684210527,,,,
multi_targeted_non_malicious,1,RF,BBA-targeted-benign,0.1,3,0.8844339622641509,0.8842848558645967,0.7337526205450734,0.7330356147881042,0.15068134171907754,0.2576164874551971,0.8632075471698113,6,716,2232,,,,170.0,280.0,200.0,
multi_targeted_non_malicious,1,RF,DBA-style-targeted-benign,0.1,3,0.8844339622641509,0.8842848558645967,0.8705450733752621,0.8703847834014361,0.01388888888888884,0.023745519713261647,0.8632075471698113,6,716,2232,,,,,,,175.0
multi_targeted_non_malicious,1,RF,FGSM-SNN-targeted-benign,0.2,3,0.8844339622641509,0.8842848558645967,0.5733752620545073,0.48526036613475415,0.31105870020964366,0.21236559139784947,0.8632075471698113,6,716,2232,,,,,,,
multi_targeted_non_malicious,1,RF,PGD-10-SNN-targeted-benign,0.2,3,0.8844339622641509,0.8842848558645967,0.575733752620545,0.4775467935763446,0.3087002096436059,0.2925627240143369,0.8632075471698113,6,716,2232,10.0,10.0,0.03,,,,
multi_targeted_non_malicious,1,RF,PGD-20-SNN-targeted-benign,0.2,3,0.8844339622641509,0.8842848558645967,0.5744234800838575,0.47355314970282386,0.3100104821802935,0.27553763440860213,0.8632075471698113,6,716,2232,20.0,19.0,0.015789473684210527,,,,
multi_targeted_non_malicious,1,RF,BBA-targeted-benign,0.2,3,0.8844339622641509,0.8842848558645967,0.6247379454926625,0.6164419128481244,0.25969601677148846,0.44399641577060933,0.8632075471698113,6,716,2232,,,,170.0,280.0,200.0,
