task,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,targeted_evasion_asr,snn_agreement,num_features,num_targetable,target_label,time_window
multi_targeted_non_malicious,DT,BBA-targeted-benign,0.05,0.8214753668763103,0.8208737934902751,0.40192610062893086,0.3429683433824852,0.4195492662473794,0.7900120660206653,0.8206892033542976,716.0,2027.0,3, (1hours)
multi_targeted_non_malicious,DT,BBA-targeted-benign,0.1,0.8214753668763103,0.8208737934902751,0.35731132075471694,0.2676039712361846,0.4641640461215933,0.8739900157383258,0.8206892033542976,716.0,2027.0,3, (1hours)
multi_targeted_non_malicious,DT,BBA-targeted-benign,0.2,0.8214753668763103,0.8208737934902751,0.30208333333333337,0.18013246607143624,0.5193920335429769,0.9777873750214813,0.8206892033542976,716.0,2027.0,3, (1hours)
multi_targeted_non_malicious,DT,BBA-targeted-benign,0.3,0.8214753668763103,0.8208737934902751,0.2980214884696017,0.1731658205652585,0.5234538784067087,0.985419425605102,0.8206892033542976,716.0,2027.0,3, (1hours)
multi_targeted_non_malicious,DT,DBA-style-targeted-benign,0.05,0.8214753668763103,0.8208737934902751,0.5252882599580713,0.5019355786348799,0.29618710691823896,0.5577584938851731,0.8206892033542976,716.0,2027.0,3, (1hours)
multi_targeted_non_malicious,DT,DBA-style-targeted-benign,0.1,0.8214753668763103,0.8208737934902751,0.4568920335429769,0.4118232022620999,0.3645833333333333,0.6863536576797037,0.8206892033542976,716.0,2027.0,3, (1hours)
multi_targeted_non_malicious,DT,DBA-style-targeted-benign,0.2,0.8214753668763103,0.8208737934902751,0.45040618448637315,0.4018062186793148,0.37106918238993714,0.6985448562489291,0.8206892033542976,716.0,2027.0,3, (1hours)
multi_targeted_non_malicious,DT,DBA-style-targeted-benign,0.3,0.8214753668763103,0.8208737934902751,0.4458857442348009,0.39451332224935665,0.3755896226415094,0.7070385358280028,0.8206892033542976,716.0,2027.0,3, (1hours)
multi_targeted_non_malicious,DT,FGSM-SNN-targeted-benign,0.05,0.8214753668763103,0.8208737934902751,0.5024895178197065,0.4639279312959172,0.31898584905660377,0.2758808325345931,0.8206892033542976,716.0,2027.0,3, (1hours)
multi_targeted_non_malicious,DT,FGSM-SNN-targeted-benign,0.1,0.8214753668763103,0.8208737934902751,0.4904350104821803,0.4435960923068054,0.33104035639412993,0.27939881157772833,0.8206892033542976,716.0,2027.0,3, (1hours)
multi_targeted_non_malicious,DT,FGSM-SNN-targeted-benign,0.2,0.8214753668763103,0.8208737934902751,0.478708071278826,0.427928410092146,0.34276729559748426,0.2891469327723285,0.8206892033542976,716.0,2027.0,3, (1hours)
multi_targeted_non_malicious,DT,FGSM-SNN-targeted-benign,0.3,0.8214753668763103,0.8208737934902751,0.47110849056603776,0.41948798533189113,0.3503668763102725,0.29270884586726975,0.8206892033542976,716.0,2027.0,3, (1hours)
multi_targeted_non_malicious,DT,PGD-10-SNN-targeted-benign,0.05,0.8214753668763103,0.8208737934902751,0.4903694968553459,0.45355246088700274,0.3311058700209643,0.3934312151155653,0.8206892033542976,716.0,2027.0,3, (1hours)
multi_targeted_non_malicious,DT,PGD-10-SNN-targeted-benign,0.1,0.8214753668763103,0.8208737934902751,0.48591457023060797,0.4472724918886883,0.33556079664570226,0.38730014490260917,0.8206892033542976,716.0,2027.0,3, (1hours)
multi_targeted_non_malicious,DT,PGD-10-SNN-targeted-benign,0.2,0.8214753668763103,0.8208737934902751,0.46363993710691825,0.40346534054115246,0.35783542976939203,0.39644382869440625,0.8206892033542976,716.0,2027.0,3, (1hours)
multi_targeted_non_malicious,DT,PGD-10-SNN-targeted-benign,0.3,0.8214753668763103,0.8208737934902751,0.4683569182389937,0.4096507345258241,0.35311844863731656,0.35620553516078457,0.8206892033542976,716.0,2027.0,3, (1hours)
multi_targeted_non_malicious,DT,PGD-20-SNN-targeted-benign,0.05,0.8214753668763103,0.8208737934902751,0.4838181341719078,0.44473608700730144,0.3376572327044025,0.4134400448178578,0.8206892033542976,716.0,2027.0,3, (1hours)
multi_targeted_non_malicious,DT,PGD-20-SNN-targeted-benign,0.1,0.8214753668763103,0.8208737934902751,0.47353249475890985,0.42887545802874605,0.3479428721174004,0.397029484488841,0.8206892033542976,716.0,2027.0,3, (1hours)
multi_targeted_non_malicious,DT,PGD-20-SNN-targeted-benign,0.2,0.8214753668763103,0.8208737934902751,0.4652777777777778,0.40469995906874756,0.3561975890985325,0.3879467682881733,0.8206892033542976,716.0,2027.0,3, (1hours)
multi_targeted_non_malicious,DT,PGD-20-SNN-targeted-benign,0.3,0.8214753668763103,0.8208737934902751,0.46888102725366876,0.40604905906250977,0.3525943396226415,0.3682568514058631,0.8206892033542976,716.0,2027.0,3, (1hours)
multi_targeted_non_malicious,LightGBM,BBA-targeted-benign,0.05,0.8614386792452831,0.8613252358381287,0.3316299790356394,0.22675427537074794,0.5298087002096435,0.9321140569720491,0.8383778825995807,716.0,2169.0,3, (1hours)
multi_targeted_non_malicious,LightGBM,BBA-targeted-benign,0.1,0.8614386792452831,0.8613252358381287,0.3071278825995807,0.18420127425855645,0.5543107966457023,0.9752518681992798,0.8383778825995807,716.0,2169.0,3, (1hours)
multi_targeted_non_malicious,LightGBM,BBA-targeted-benign,0.2,0.8614386792452831,0.8613252358381287,0.29926624737945495,0.1706093521379525,0.5621724318658281,0.9890716416902378,0.8383778825995807,716.0,2169.0,3, (1hours)
multi_targeted_non_malicious,LightGBM,BBA-targeted-benign,0.3,0.8614386792452831,0.8613252358381287,0.2972353249475891,0.1668678263920028,0.564203354297694,0.9926423801636415,0.8383778825995807,716.0,2169.0,3, (1hours)
multi_targeted_non_malicious,LightGBM,DBA-style-targeted-benign,0.05,0.8614386792452831,0.8613252358381287,0.5511006289308176,0.5239416048959792,0.3103380503144654,0.5456739222497498,0.8383778825995807,716.0,2169.0,3, (1hours)
multi_targeted_non_malicious,LightGBM,DBA-style-targeted-benign,0.1,0.8614386792452831,0.8613252358381287,0.5491352201257862,0.5214230002942079,0.31230345911949686,0.5491426462436626,0.8383778825995807,716.0,2169.0,3, (1hours)
multi_targeted_non_malicious,LightGBM,DBA-style-targeted-benign,0.2,0.8614386792452831,0.8613252358381287,0.5436320754716981,0.5157406491889648,0.31780660377358494,0.5589298454387868,0.8383778825995807,716.0,2169.0,3, (1hours)
multi_targeted_non_malicious,LightGBM,DBA-style-targeted-benign,0.3,0.8614386792452831,0.8613252358381287,0.5431734800838575,0.515274362974743,0.3182651991614256,0.5597363089993055,0.8383778825995807,716.0,2169.0,3, (1hours)
multi_targeted_non_malicious,LightGBM,FGSM-SNN-targeted-benign,0.05,0.8614386792452831,0.8613252358381287,0.48421121593291405,0.44072698026676993,0.37722746331236895,0.26394741926174997,0.8383778825995807,716.0,2169.0,3, (1hours)
multi_targeted_non_malicious,LightGBM,FGSM-SNN-targeted-benign,0.1,0.8614386792452831,0.8613252358381287,0.5050445492662474,0.4443017170247613,0.35639412997903563,0.2430780599574787,0.8383778825995807,716.0,2169.0,3, (1hours)
multi_targeted_non_malicious,LightGBM,FGSM-SNN-targeted-benign,0.2,0.8614386792452831,0.8613252358381287,0.5047824947589099,0.44252337302312644,0.35665618448637315,0.1472898463343705,0.8383778825995807,716.0,2169.0,3, (1hours)
multi_targeted_non_malicious,LightGBM,FGSM-SNN-targeted-benign,0.3,0.8614386792452831,0.8613252358381287,0.5024895178197065,0.44159633360384576,0.3589491614255765,0.12604957011361523,0.8383778825995807,716.0,2169.0,3, (1hours)
multi_targeted_non_malicious,LightGBM,PGD-10-SNN-targeted-benign,0.05,0.8614386792452831,0.8613252358381287,0.49174528301886794,0.45012963899818825,0.36969339622641506,0.2949532064503062,0.8383778825995807,716.0,2169.0,3, (1hours)
multi_targeted_non_malicious,LightGBM,PGD-10-SNN-targeted-benign,0.1,0.8614386792452831,0.8613252358381287,0.5274502096436059,0.4742441764585663,0.3339884696016771,0.20304770421362123,0.8383778825995807,716.0,2169.0,3, (1hours)
multi_targeted_non_malicious,LightGBM,PGD-10-SNN-targeted-benign,0.2,0.8614386792452831,0.8613252358381287,0.519916142557652,0.46704945992781727,0.34152253668763105,0.05908363053049976,0.8383778825995807,716.0,2169.0,3, (1hours)
multi_targeted_non_malicious,LightGBM,PGD-10-SNN-targeted-benign,0.3,0.8614386792452831,0.8613252358381287,0.4844077568134172,0.45173404018015817,0.3770309224318658,0.02561027849389708,0.8383778825995807,716.0,2169.0,3, (1hours)
multi_targeted_non_malicious,LightGBM,PGD-20-SNN-targeted-benign,0.05,0.8614386792452831,0.8613252358381287,0.4801493710691824,0.43156923728580404,0.3812893081761006,0.2913687620059525,0.8383778825995807,716.0,2169.0,3, (1hours)
multi_targeted_non_malicious,LightGBM,PGD-20-SNN-targeted-benign,0.1,0.8614386792452831,0.8613252358381287,0.5134958071278826,0.45171268318226115,0.3479428721174004,0.20953607341041125,0.8383778825995807,716.0,2169.0,3, (1hours)
multi_targeted_non_malicious,LightGBM,PGD-20-SNN-targeted-benign,0.2,0.8614386792452831,0.8613252358381287,0.5214884696016772,0.4639934342849413,0.3399502096436059,0.06700365307382906,0.8383778825995807,716.0,2169.0,3, (1hours)
multi_targeted_non_malicious,LightGBM,PGD-20-SNN-targeted-benign,0.3,0.8614386792452831,0.8613252358381287,0.5205712788259959,0.46263259278836133,0.3408674004192872,0.07352047952819057,0.8383778825995807,716.0,2169.0,3, (1hours)
multi_targeted_non_malicious,RF,BBA-targeted-benign,0.05,0.8387054507337526,0.8384184186578213,0.6825864779874213,0.6740371222094117,0.1561189727463312,0.2794087805686052,0.8204271488469601,716.0,2131.75,3, (1hours)
multi_targeted_non_malicious,RF,BBA-targeted-benign,0.1,0.8387054507337526,0.8384184186578213,0.6220518867924528,0.6205372407714161,0.21665356394129978,0.38772105300843424,0.8204271488469601,716.0,2131.75,3, (1hours)
multi_targeted_non_malicious,RF,BBA-targeted-benign,0.2,0.8387054507337526,0.8384184186578213,0.5388495807127883,0.5299220580676842,0.2998558700209643,0.5365524725340265,0.8204271488469601,716.0,2131.75,3, (1hours)
multi_targeted_non_malicious,RF,BBA-targeted-benign,0.3,0.8387054507337526,0.8384184186578213,0.4866352201257862,0.4605572266196129,0.35207023060796644,0.6301135885177858,0.8204271488469601,716.0,2131.75,3, (1hours)
multi_targeted_non_malicious,RF,DBA-style-targeted-benign,0.05,0.8387054507337526,0.8384184186578213,0.7984800838574424,0.7971955571760037,0.04022536687631023,0.07201626113009701,0.8204271488469601,716.0,2131.75,3, (1hours)
multi_targeted_non_malicious,RF,DBA-style-targeted-benign,0.1,0.8387054507337526,0.8384184186578213,0.7982180293501049,0.7969331201424176,0.04048742138364775,0.07248505187120095,0.8204271488469601,716.0,2131.75,3, (1hours)
multi_targeted_non_malicious,RF,DBA-style-targeted-benign,0.2,0.8387054507337526,0.8384184186578213,0.7985455974842768,0.7972871908277225,0.04015985324947585,0.07190619501435094,0.8204271488469601,716.0,2131.75,3, (1hours)
multi_targeted_non_malicious,RF,DBA-style-targeted-benign,0.3,0.8387054507337526,0.8384184186578213,0.798414570230608,0.7971498604325735,0.04029088050314461,0.07214126788694146,0.8204271488469601,716.0,2131.75,3, (1hours)
multi_targeted_non_malicious,RF,FGSM-SNN-targeted-benign,0.05,0.8387054507337526,0.8384184186578213,0.5631551362683438,0.539979674738181,0.2755503144654088,0.23131093598176708,0.8204271488469601,716.0,2131.75,3, (1hours)
multi_targeted_non_malicious,RF,FGSM-SNN-targeted-benign,0.1,0.8387054507337526,0.8384184186578213,0.5363600628930818,0.489179062580178,0.3023453878406709,0.3628358753092509,0.8204271488469601,716.0,2131.75,3, (1hours)
multi_targeted_non_malicious,RF,FGSM-SNN-targeted-benign,0.2,0.8387054507337526,0.8384184186578213,0.5225366876310272,0.45356147329137086,0.31616876310272535,0.3533808525328951,0.8204271488469601,716.0,2131.75,3, (1hours)
multi_targeted_non_malicious,RF,FGSM-SNN-targeted-benign,0.3,0.8387054507337526,0.8384184186578213,0.5252227463312369,0.44497461198031635,0.3134827044025157,0.2879326789576534,0.8204271488469601,716.0,2131.75,3, (1hours)
multi_targeted_non_malicious,RF,PGD-10-SNN-targeted-benign,0.05,0.8387054507337526,0.8384184186578213,0.5435010482180294,0.5123535594657039,0.2952044025157232,0.37328024102069624,0.8204271488469601,716.0,2131.75,3, (1hours)
multi_targeted_non_malicious,RF,PGD-10-SNN-targeted-benign,0.1,0.8387054507337526,0.8384184186578213,0.5315775681341719,0.4756293527497718,0.3071278825995807,0.4940603340695489,0.8204271488469601,716.0,2131.75,3, (1hours)
multi_targeted_non_malicious,RF,PGD-10-SNN-targeted-benign,0.2,0.8387054507337526,0.8384184186578213,0.529022536687631,0.46357756771682795,0.3096829140461216,0.515948636726023,0.8204271488469601,716.0,2131.75,3, (1hours)
multi_targeted_non_malicious,RF,PGD-10-SNN-targeted-benign,0.3,0.8387054507337526,0.8384184186578213,0.5339360587002097,0.4676091229599755,0.304769392033543,0.493401025915593,0.8204271488469601,716.0,2131.75,3, (1hours)
multi_targeted_non_malicious,RF,PGD-20-SNN-targeted-benign,0.05,0.8387054507337526,0.8384184186578213,0.5392426624737946,0.5068941257261055,0.29946278825995803,0.3790311574440023,0.8204271488469601,716.0,2131.75,3, (1hours)
multi_targeted_non_malicious,RF,PGD-20-SNN-targeted-benign,0.1,0.8387054507337526,0.8384184186578213,0.5277122641509434,0.4707035991596823,0.3109931865828092,0.5007358657397732,0.8204271488469601,716.0,2131.75,3, (1hours)
multi_targeted_non_malicious,RF,PGD-20-SNN-targeted-benign,0.2,0.8387054507337526,0.8384184186578213,0.5257468553459119,0.4582912297163984,0.31295859538784065,0.5253964413587032,0.8204271488469601,716.0,2131.75,3, (1hours)
multi_targeted_non_malicious,RF,PGD-20-SNN-targeted-benign,0.3,0.8387054507337526,0.8384184186578213,0.5327568134171907,0.46446759247533914,0.30594863731656186,0.5019466003736448,0.8204271488469601,716.0,2131.75,3, (1hours)
multi_targeted_non_malicious,XGBoost,BBA-targeted-benign,0.05,0.8598008385744235,0.8596475853479804,0.4294418238993711,0.3783114502789407,0.43035901467505244,0.7562775486486721,0.8291404612159329,716.0,2170.25,3, (1hours)
multi_targeted_non_malicious,XGBoost,BBA-targeted-benign,0.1,0.8598008385744235,0.8596475853479804,0.32887840670859536,0.22270090272794105,0.5309224318658281,0.9333728700325807,0.8291404612159329,716.0,2170.25,3, (1hours)
multi_targeted_non_malicious,XGBoost,BBA-targeted-benign,0.2,0.8598008385744235,0.8596475853479804,0.3086346960167715,0.18919221687491888,0.551166142557652,0.9690861599627999,0.8291404612159329,716.0,2170.25,3, (1hours)
multi_targeted_non_malicious,XGBoost,BBA-targeted-benign,0.3,0.8598008385744235,0.8596475853479804,0.29959381551362685,0.17420818829804652,0.5602070230607967,0.9849888954073824,0.8291404612159329,716.0,2170.25,3, (1hours)
multi_targeted_non_malicious,XGBoost,DBA-style-targeted-benign,0.05,0.8598008385744235,0.8596475853479804,0.6883516771488469,0.6768796103130513,0.17144916142557654,0.3013377497501926,0.8291404612159329,716.0,2170.25,3, (1hours)
multi_targeted_non_malicious,XGBoost,DBA-style-targeted-benign,0.1,0.8598008385744235,0.8596475853479804,0.6901860587002097,0.6796894954606945,0.16961477987421386,0.2981067419223587,0.8291404612159329,716.0,2170.25,3, (1hours)
multi_targeted_non_malicious,XGBoost,DBA-style-targeted-benign,0.2,0.8598008385744235,0.8596475853479804,0.6877620545073375,0.6768237252713076,0.17203878406708598,0.3023665223108239,0.8291404612159329,716.0,2170.25,3, (1hours)
multi_targeted_non_malicious,XGBoost,DBA-style-targeted-benign,0.3,0.8598008385744235,0.8596475853479804,0.6870414046121593,0.6760650956208987,0.17275943396226418,0.3036363919395205,0.8291404612159329,716.0,2170.25,3, (1hours)
multi_targeted_non_malicious,XGBoost,FGSM-SNN-targeted-benign,0.05,0.8598008385744235,0.8596475853479804,0.4578747379454926,0.4190134876011811,0.40192610062893086,0.20609863838713488,0.8291404612159329,716.0,2170.25,3, (1hours)
multi_targeted_non_malicious,XGBoost,FGSM-SNN-targeted-benign,0.1,0.8598008385744235,0.8596475853479804,0.4506027253668763,0.4179262801476924,0.4091981132075472,0.16988232622380847,0.8291404612159329,716.0,2170.25,3, (1hours)
multi_targeted_non_malicious,XGBoost,FGSM-SNN-targeted-benign,0.2,0.8598008385744235,0.8596475853479804,0.42197327044025157,0.39303142785062606,0.4378275681341719,0.15081053427751762,0.8291404612159329,716.0,2170.25,3, (1hours)
multi_targeted_non_malicious,XGBoost,FGSM-SNN-targeted-benign,0.3,0.8598008385744235,0.8596475853479804,0.4725497903563941,0.43186242468912084,0.38725104821802936,0.15498591649785828,0.8291404612159329,716.0,2170.25,3, (1hours)
multi_targeted_non_malicious,XGBoost,PGD-10-SNN-targeted-benign,0.05,0.8598008385744235,0.8596475853479804,0.48087002096436054,0.4350798046183927,0.3789308176100629,0.26734389453535107,0.8291404612159329,716.0,2170.25,3, (1hours)
multi_targeted_non_malicious,XGBoost,PGD-10-SNN-targeted-benign,0.1,0.8598008385744235,0.8596475853479804,0.47051886792452835,0.41314601198722145,0.38928197064989517,0.2452183011829558,0.8291404612159329,716.0,2170.25,3, (1hours)
multi_targeted_non_malicious,XGBoost,PGD-10-SNN-targeted-benign,0.2,0.8598008385744235,0.8596475853479804,0.4704533542976939,0.42026710125945477,0.3893474842767296,0.13881558455461687,0.8291404612159329,716.0,2170.25,3, (1hours)
multi_targeted_non_malicious,XGBoost,PGD-10-SNN-targeted-benign,0.3,0.8598008385744235,0.8596475853479804,0.4794287211740042,0.4250378168589283,0.3803721174004193,0.15418905264002475,0.8291404612159329,716.0,2170.25,3, (1hours)
multi_targeted_non_malicious,XGBoost,PGD-20-SNN-targeted-benign,0.05,0.8598008385744235,0.8596475853479804,0.47851153039832284,0.4308248990083914,0.3812893081761006,0.27090677489206205,0.8291404612159329,716.0,2170.25,3, (1hours)
multi_targeted_non_malicious,XGBoost,PGD-20-SNN-targeted-benign,0.1,0.8598008385744235,0.8596475853479804,0.4704533542976939,0.4115029041232579,0.38934748427672955,0.2516667452209631,0.8291404612159329,716.0,2170.25,3, (1hours)
multi_targeted_non_malicious,XGBoost,PGD-20-SNN-targeted-benign,0.2,0.8598008385744235,0.8596475853479804,0.47117400419287214,0.42155363208943564,0.3886268343815514,0.1323897712917072,0.8291404612159329,716.0,2170.25,3, (1hours)
multi_targeted_non_malicious,XGBoost,PGD-20-SNN-targeted-benign,0.3,0.8598008385744235,0.8596475853479804,0.4800183438155136,0.42722944595607076,0.3797824947589099,0.14094896861713324,0.8291404612159329,716.0,2170.25,3, (1hours)
multi_targeted_non_malicious,DT,BBA-targeted-benign,0.05,0.8263233752620545,0.8259164572927559,0.3590146750524109,0.2760998297230597,0.4673087002096436,0.871255882072157,0.8254061844863732,716.0,2047.0,3, (3hours)
multi_targeted_non_malicious,DT,BBA-targeted-benign,0.1,0.8263233752620545,0.8259164572927559,0.3035901467505241,0.18392993599986998,0.5227332285115304,0.9744871006698984,0.8254061844863732,716.0,2047.0,3, (3hours)
multi_targeted_non_malicious,DT,BBA-targeted-benign,0.2,0.8263233752620545,0.8259164572927559,0.2943527253668763,0.16766829322152385,0.5319706498951782,0.991673615545251,0.8254061844863732,716.0,2047.0,3, (3hours)
