task,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,targeted_evasion_asr,snn_agreement,num_features,num_targetable,target_label
multi_targeted_non_malicious,DT,BBA-targeted-benign,0.05,0.8263233752620545,0.8259164572927559,0.3590146750524109,0.2760998297230597,0.4673087002096436,0.871255882072157,0.8254061844863732,716.0,2047.0,3
multi_targeted_non_malicious,DT,BBA-targeted-benign,0.1,0.8263233752620545,0.8259164572927559,0.3035901467505241,0.18392993599986998,0.5227332285115304,0.9744871006698984,0.8254061844863732,716.0,2047.0,3
multi_targeted_non_malicious,DT,BBA-targeted-benign,0.2,0.8263233752620545,0.8259164572927559,0.2943527253668763,0.16766829322152385,0.5319706498951782,0.991673615545251,0.8254061844863732,716.0,2047.0,3
multi_targeted_non_malicious,DT,BBA-targeted-benign,0.3,0.8263233752620545,0.8259164572927559,0.29278039832285113,0.1649315811119844,0.5335429769392034,0.9946109978288907,0.8254061844863732,716.0,2047.0,3
multi_targeted_non_malicious,DT,DBA-style-targeted-benign,0.05,0.8263233752620545,0.8259164572927559,0.49508647798742134,0.46610927932272267,0.3312368972746331,0.6178504052038758,0.8254061844863732,716.0,2047.0,3
multi_targeted_non_malicious,DT,DBA-style-targeted-benign,0.1,0.8263233752620545,0.8259164572927559,0.4769392033542977,0.4444883332229319,0.3493841719077568,0.6517522205539364,0.8254061844863732,716.0,2047.0,3
multi_targeted_non_malicious,DT,DBA-style-targeted-benign,0.2,0.8263233752620545,0.8259164572927559,0.46927410901467503,0.4340500714558743,0.3570492662473794,0.666060633116278,0.8254061844863732,716.0,2047.0,3
multi_targeted_non_malicious,DT,DBA-style-targeted-benign,0.3,0.8263233752620545,0.8259164572927559,0.46743972746331236,0.43142889879366897,0.35888364779874216,0.6694752699885783,0.8254061844863732,716.0,2047.0,3
multi_targeted_non_malicious,DT,FGSM-SNN-targeted-benign,0.05,0.8263233752620545,0.8259164572927559,0.5051100628930818,0.459641955218224,0.3212133123689727,0.24845015657046374,0.8254061844863732,716.0,2047.0,3
multi_targeted_non_malicious,DT,FGSM-SNN-targeted-benign,0.1,0.8263233752620545,0.8259164572927559,0.49986897274633124,0.449957163581035,0.3264544025157232,0.2851821722064733,0.8254061844863732,716.0,2047.0,3
multi_targeted_non_malicious,DT,FGSM-SNN-targeted-benign,0.2,0.8263233752620545,0.8259164572927559,0.47897012578616355,0.42544423461818814,0.34735324947589097,0.28050231692259153,0.8254061844863732,716.0,2047.0,3
multi_targeted_non_malicious,DT,FGSM-SNN-targeted-benign,0.3,0.8263233752620545,0.8259164572927559,0.4747772536687631,0.4186909449707802,0.3515461215932914,0.2813068303132351,0.8254061844863732,716.0,2047.0,3
multi_targeted_non_malicious,DT,PGD-10-SNN-targeted-benign,0.05,0.8263233752620545,0.8259164572927559,0.5315120545073375,0.4947071098905618,0.29481132075471694,0.2495775642682264,0.8254061844863732,716.0,2047.0,3
multi_targeted_non_malicious,DT,PGD-10-SNN-targeted-benign,0.1,0.8263233752620545,0.8259164572927559,0.5300052410901468,0.49597793775067317,0.2963181341719078,0.3183252713444624,0.8254061844863732,716.0,2047.0,3
multi_targeted_non_malicious,DT,PGD-10-SNN-targeted-benign,0.2,0.8263233752620545,0.8259164572927559,0.5205057651991614,0.47001688831305516,0.30581761006289304,0.35978974528834023,0.8254061844863732,716.0,2047.0,3
multi_targeted_non_malicious,DT,PGD-10-SNN-targeted-benign,0.3,0.8263233752620545,0.8259164572927559,0.5216850104821803,0.46875350247947156,0.30463836477987416,0.35096133155302195,0.8254061844863732,716.0,2047.0,3
multi_targeted_non_malicious,DT,PGD-20-SNN-targeted-benign,0.05,0.8263233752620545,0.8259164572927559,0.527646750524109,0.48642812162994975,0.29867662473794543,0.2568301285114606,0.8254061844863732,716.0,2047.0,3
multi_targeted_non_malicious,DT,PGD-20-SNN-targeted-benign,0.1,0.8263233752620545,0.8259164572927559,0.492793501048218,0.44682980160493685,0.33352987421383645,0.3609725092394257,0.8254061844863732,716.0,2047.0,3
multi_targeted_non_malicious,DT,PGD-20-SNN-targeted-benign,0.2,0.8263233752620545,0.8259164572927559,0.5124475890985325,0.4577387026106051,0.31387578616352196,0.36424745612995924,0.8254061844863732,716.0,2047.0,3
multi_targeted_non_malicious,DT,PGD-20-SNN-targeted-benign,0.3,0.8263233752620545,0.8259164572927559,0.5213574423480084,0.46770737800520695,0.30496593291404606,0.3388135374825265,0.8254061844863732,716.0,2047.0,3
multi_targeted_non_malicious,LightGBM,BBA-targeted-benign,0.05,0.8628799790356394,0.8627202274819834,0.3552803983228512,0.26311595482517136,0.5075995807127882,0.8945175797691436,0.840146750524109,716.0,2165.25,3
multi_targeted_non_malicious,LightGBM,BBA-targeted-benign,0.1,0.8628799790356394,0.8627202274819834,0.3206892033542977,0.20487346049409577,0.5421907756813418,0.9555138007980337,0.840146750524109,716.0,2165.25,3
multi_targeted_non_malicious,LightGBM,BBA-targeted-benign,0.2,0.8628799790356394,0.8627202274819834,0.31230345911949686,0.19008258227594127,0.5505765199161425,0.9702808886181534,0.840146750524109,716.0,2165.25,3
multi_targeted_non_malicious,LightGBM,BBA-targeted-benign,0.3,0.8628799790356394,0.8627202274819834,0.3110587002096436,0.18798126599319126,0.5518212788259957,0.9725187529674573,0.840146750524109,716.0,2165.25,3
multi_targeted_non_malicious,LightGBM,DBA-style-targeted-benign,0.05,0.8628799790356394,0.8627202274819834,0.6124213836477987,0.5965729906223058,0.2504585953878407,0.4411991075275251,0.840146750524109,716.0,2165.25,3
multi_targeted_non_malicious,LightGBM,DBA-style-targeted-benign,0.1,0.8628799790356394,0.8627202274819834,0.6118317610062893,0.5957939525729015,0.25104821802935007,0.44219947010410865,0.840146750524109,716.0,2165.25,3
multi_targeted_non_malicious,LightGBM,DBA-style-targeted-benign,0.2,0.8628799790356394,0.8627202274819834,0.6123558700209644,0.596766056212089,0.25052410901467503,0.4412864489116966,0.840146750524109,716.0,2165.25,3
multi_targeted_non_malicious,LightGBM,DBA-style-targeted-benign,0.3,0.8628799790356394,0.8627202274819834,0.6104559748427674,0.5947550072499725,0.25242400419287214,0.4446066594219079,0.840146750524109,716.0,2165.25,3
multi_targeted_non_malicious,LightGBM,FGSM-SNN-targeted-benign,0.05,0.8628799790356394,0.8627202274819834,0.5666928721174005,0.5023291227230534,0.296187106918239,0.18088479435893742,0.840146750524109,716.0,2165.25,3
multi_targeted_non_malicious,LightGBM,FGSM-SNN-targeted-benign,0.1,0.8628799790356394,0.8627202274819834,0.5537211740041929,0.47121735940998444,0.30915880503144655,0.15789612179805326,0.840146750524109,716.0,2165.25,3
multi_targeted_non_malicious,LightGBM,FGSM-SNN-targeted-benign,0.2,0.8628799790356394,0.8627202274819834,0.5517557651991614,0.4657709785590045,0.31112421383647804,0.08916233181761382,0.840146750524109,716.0,2165.25,3
multi_targeted_non_malicious,LightGBM,FGSM-SNN-targeted-benign,0.3,0.8628799790356394,0.8627202274819834,0.5476284067085954,0.4682818445170674,0.31525157232704404,0.06724281252644253,0.840146750524109,716.0,2165.25,3
multi_targeted_non_malicious,LightGBM,PGD-10-SNN-targeted-benign,0.05,0.8628799790356394,0.8627202274819834,0.5869365828092243,0.5308593795679104,0.2759433962264151,0.16366320769201056,0.840146750524109,716.0,2165.25,3
